t0,sigma,gamma,e,theta_e,theta_gamma,zs,zl,snx,sny,MB,transient_amplitude,sysno,sntype,ebvhost,ra,dec,ebvmw,weight,host_n,host_ellip,host_reff,host_theta,host_amplitude,host_type,host_x,host_y,lensgal_n,lensgal_ellip,lensgal_reff,lensgal_theta,lensgal_amplitude,lensgal_type,lensgal_x,lensgal_y,t_found,lensgal_mi,x0,x1,c,lensgal_magnorm,lensgal_sed,twinkles_sysno,td,x,y,mu,imno,t_start
61985.17067343438,117.77719454656304,0.05847132677107574,0.3043052608517348,284.34604703598114,60.18832190372525,1.9106360905592918,0.24866743110163314,0.04230405294757887,0.019440022453999298,-19.012962660160827,1.5704089159201904e-11,5483585,1a,0.014036946706226655,352.78581313151204,-44.58974108149695,0.01057514233034152,9.458674505033378e-05,1.0,0.6399999856948853,0.6922290022665714,0.19247943242687146,3.47361618841214e-05,kinney-starburst,-0.8592820309527951,0.906549239509276,4.0,0.3043052608517348,0.7035680584184795,284.34604703598114,3.166882762709482e-17,kinney-elliptical,0.0,0.0,61980.2252345,19.653906589416895,2.859883298729483e-07,0.0,0.0,20.316608378550683,galaxySED/Exp.50E09.02Z.spec.gz,1944,0.42198982797747586,0.2862798568517355,-0.1549578639055341,-39.51030313395151,3,61985.59266326236
60361.16552573642,110.32169907944105,0.09792783726355302,0.45153040975853226,109.72769981296527,339.4485198406827,1.9180921332610137,0.09877580413871286,-0.06706831449255914,-0.011054283669495082,-19.107971704317315,1.6977732523413217e-11,9136874,1a,0.03446606767717244,143.7853168977659,-21.2978999873322,0.0558285328438051,1.3487570981138223e-05,1.0,0.5,0.6047076162895179,2.0663791623216547,5.797090212186402e-06,kinney-starburst,1.2049559341505964,0.5778600236508561,4.0,0.45153040975853226,0.7096846545524984,109.72769981296527,1.314023813834537e-16,kinney-elliptical,0.0,0.0,60337.300203499995,17.988175343840243,3.0914275789866116e-07,0.0,0.0,18.907485775502202,galaxySED/Inst.10E10.04Z.spec.gz,1945,0.0,-0.3535499094980022,0.2112747896655682,2.7063545474850805,0,60361.16552573642
60361.16552573642,110.32169907944105,0.09792783726355302,0.45153040975853226,109.72769981296527,339.4485198406827,1.9180921332610137,0.09877580413871286,-0.06706831449255914,-0.011054283669495082,-19.107971704317315,1.6977732523413217e-11,9136874,1a,0.03446606767717244,143.7853168977659,-21.2978999873322,0.0558285328438051,1.3487570981138223e-05,1.0,0.5,0.6047076162895179,2.0663791623216547,5.797090212186402e-06,kinney-starburst,1.2049559341505964,0.5778600236508561,4.0,0.45153040975853226,0.7096846545524984,109.72769981296527,1.314023813834537e-16,kinney-elliptical,0.0,0.0,60337.300203499995,17.988175343840243,3.0914275789866116e-07,0.0,0.0,18.907485775502202,galaxySED/Inst.10E10.04Z.spec.gz,1945,0.6961752042543827,0.20211123123888172,0.08207003341006935,-1.0163993870084531,1,60361.86170094067
60361.16552573642,110.32169907944105,0.09792783726355302,0.45153040975853226,109.72769981296527,339.4485198406827,1.9180921332610137,0.09877580413871286,-0.06706831449255914,-0.011054283669495082,-19.107971704317315,1.6977732523413217e-11,9136874,1a,0.03446606767717244,143.7853168977659,-21.2978999873322,0.0558285328438051,1.3487570981138223e-05,1.0,0.5,0.6047076162895179,2.0663791623216547,5.797090212186402e-06,kinney-starburst,1.2049559341505964,0.5778600236508561,4.0,0.45153040975853226,0.7096846545524984,109.72769981296527,1.314023813834537e-16,kinney-elliptical,0.0,0.0,60337.300203499995,17.988175343840243,3.0914275789866116e-07,0.0,0.0,18.907485775502202,galaxySED/Inst.10E10.04Z.spec.gz,1945,0.25502368734702774,-0.13560008116467887,-0.2939307551339795,-136.5480660367744,2,60361.42054942377
60361.16552573642,110.32169907944105,0.09792783726355302,0.45153040975853226,109.72769981296527,339.4485198406827,1.9180921332610137,0.09877580413871286,-0.06706831449255914,-0.011054283669495082,-19.107971704317315,1.6977732523413217e-11,9136874,1a,0.03446606767717244,143.7853168977659,-21.2978999873322,0.0558285328438051,1.3487570981138223e-05,1.0,0.5,0.6047076162895179,2.0663791623216547,5.797090212186402e-06,kinney-starburst,1.2049559341505964,0.5778600236508561,4.0,0.45153040975853226,0.7096846545524984,109.72769981296527,1.314023813834537e-16,kinney-elliptical,0.0,0.0,60337.300203499995,17.988175343840243,3.0914275789866116e-07,0.0,0.0,18.907485775502202,galaxySED/Inst.10E10.04Z.spec.gz,1945,0.25502232930858604,-0.1266961052135974,-0.29776753512764953,137.37453983205467,3,60361.420548065726
60474.10761475637,71.0866929101513,0.05775717650145066,0.5591376541381539,41.987059564879395,140.92293638157759,1.8532915246735704,0.5418287354077617,0.02062625330448922,-0.018703239831665257,-19.244201825152263,2.0935921377195124e-11,4095181,1a,0.002040002918227421,148.03757389166486,-24.08820541699319,0.04763883674830411,4.1310866437954806e-05,1.0,0.7599999904632568,0.23740389728039446,2.0307010607186466,2.0520314907282816e-06,kinney-starburst,-0.02868089212600883,-0.1646717645541221,4.0,0.5591376541381539,0.2470738708024766,41.987059564879395,2.0907619976423645e-18,kinney-elliptical,0.0,0.0,60455.02816,23.001948400252516,3.81654373875895e-07,0.0,0.0,23.589546611275466,galaxySED/Inst.12E10.0005Z.spec.gz,1946,0.049795488285820366,0.038234462271459,-0.0951473985643646,-130.62728404484625,0,60474.15741024466
60474.10761475637,71.0866929101513,0.05775717650145066,0.5591376541381539,41.987059564879395,140.92293638157759,1.8532915246735704,0.5418287354077617,0.02062625330448922,-0.018703239831665257,-19.244201825152263,2.0935921377195124e-11,4095181,1a,0.002040002918227421,148.03757389166486,-24.08820541699319,0.04763883674830411,4.1310866437954806e-05,1.0,0.7599999904632568,0.23740389728039446,2.0307010607186466,2.0520314907282816e-06,kinney-starburst,-0.02868089212600883,-0.1646717645541221,4.0,0.5591376541381539,0.2470738708024766,41.987059564879395,2.0907619976423645e-18,kinney-elliptical,0.0,0.0,60455.02816,23.001948400252516,3.81654373875895e-07,0.0,0.0,23.589546611275466,galaxySED/Inst.12E10.0005Z.spec.gz,1946,0.04982952875574054,0.037925770985607496,-0.0952486609089725,-187.71243143206794,1,60474.15744428513
60474.10761475637,71.0866929101513,0.05775717650145066,0.5591376541381539,41.987059564879395,140.92293638157759,1.8532915246735704,0.5418287354077617,0.02062625330448922,-0.018703239831665257,-19.244201825152263,2.0935921377195124e-11,4095181,1a,0.002040002918227421,148.03757389166486,-24.08820541699319,0.04763883674830411,4.1310866437954806e-05,1.0,0.7599999904632568,0.23740389728039446,2.0307010607186466,2.0520314907282816e-06,kinney-starburst,-0.02868089212600883,-0.1646717645541221,4.0,0.5591376541381539,0.2470738708024766,41.987059564879395,2.0907619976423645e-18,kinney-elliptical,0.0,0.0,60455.02816,23.001948400252516,3.81654373875895e-07,0.0,0.0,23.589546611275466,galaxySED/Inst.12E10.0005Z.spec.gz,1946,0.0,0.10640991505915595,-0.01255362537956348,3.4244953505843134,2,60474.10761475637
60474.10761475637,71.0866929101513,0.05775717650145066,0.5591376541381539,41.987059564879395,140.92293638157759,1.8532915246735704,0.5418287354077617,0.02062625330448922,-0.018703239831665257,-19.244201825152263,2.0935921377195124e-11,4095181,1a,0.002040002918227421,148.03757389166486,-24.08820541699319,0.04763883674830411,4.1310866437954806e-05,1.0,0.7599999904632568,0.23740389728039446,2.0307010607186466,2.0520314907282816e-06,kinney-starburst,-0.02868089212600883,-0.1646717645541221,4.0,0.5591376541381539,0.2470738708024766,41.987059564879395,2.0907619976423645e-18,kinney-elliptical,0.0,0.0,60455.02816,23.001948400252516,3.81654373875895e-07,0.0,0.0,23.589546611275466,galaxySED/Inst.12E10.0005Z.spec.gz,1946,0.45579564426660846,-0.031441708827140896,0.03324553716819961,-0.5969882153635369,3,60474.56341040064
60881.2659571231,178.01707091745922,0.047414742449122804,0.37974184411445727,217.13275256660356,8.218163191547315,1.9371595498961465,0.0248165572326293,0.03109534727190805,0.1271041957493219,-19.28151389773125,1.9444326351999826e-11,9407709,1a,0.005896780480712623,359.65059909802187,-43.88258003718477,0.012096613272564574,6.14615393427537e-06,1.0,0.32999998331069946,1.0816527426720386,1.5387110905544226,1.8251281766301082e-05,kinney-starburst,0.43739417916519774,-0.2349318446878551,4.0,0.37974184411445727,5.749544620803548,217.13275256660356,6.843317402487048e-15,kinney-elliptical,0.0,0.0,60875.24459638461,13.634553894834692,3.539403306723285e-07,0.0,0.0,14.497367361055055,galaxySED/Exp.80E09.04Z.spec.gz,1947,1.0101734820710422,0.23903008049669824,-0.6425274091419985,-1.595009789148044,0,60882.27613060517
