,t0,x,y,sigma,gamma,e,theta_e,theta_gamma,zs,zl,snx,sny,MB,mu,sysno,imno,mag,mb,x0,x1,c,twinkles_sysno,bulge_magnorm,r_eff,lens_sed,t_start
0,0.0,0.2675,-0.4957,171.981336621,0.0738286963584,0.31620960465,79.1602034585,134.088420053,0.734945395493,0.39901291919,0.10270285082000001,-0.149628458562,-19.534964165599998,2.1795,105,0,22.8072185524,23.6531107358,6.27562967356e-06,0.0,0.0,1000,20.670631932943735,1.2772489786148071,galaxySED/Inst.50E09.1Z.spec.gz,60352.338088137374
1,14.945,-0.125,0.1134,171.981336621,0.0738286963584,0.31620960465,79.1602034585,134.088420053,0.734945395493,0.39901291919,0.10270285082000001,-0.149628458562,-19.534964165599998,-0.9887,105,1,23.6654494004,23.6531107358,6.27562967356e-06,0.0,0.0,1000,20.670631932943735,1.2772489786148071,galaxySED/Inst.50E09.1Z.spec.gz,60367.283088137374
2,0.0,-0.2566,-0.4932,165.882504786,0.060947961457,0.556837491431,223.996858203,85.4951954118,0.5701285531229999,0.304755327059,-0.06371344747600001,-0.163734711897,-19.570531953499998,1.6892,126,0,22.1118926441,22.681095325900003,1.53625557451e-05,0.0,0.0,1001,19.402538295914052,0.29854005575180054,galaxySED/Exp.50E09.1Z.spec.gz,60388.51131687129
3,11.046,-0.0276,0.1673,165.882504786,0.060947961457,0.556837491431,223.996858203,85.4951954118,0.5701285531229999,0.304755327059,-0.06371344747600001,-0.163734711897,-19.570531953499998,-1.1577,126,1,22.5221052427,22.681095325900003,1.53625557451e-05,0.0,0.0,1001,19.402538295914052,0.29854005575180054,galaxySED/Exp.50E09.1Z.spec.gz,60399.557316871294
4,0.0,0.3682,0.4532,225.89443876400003,0.0643661888334,0.40709395868000003,260.54232842700003,31.715261585,0.826762735485,0.571931272829,0.12465267327299999,0.109589052314,-19.6022537283,2.0976,187,0,23.2994009631,24.103707649,4.14398851008e-06,0.0,0.0,1002,20.061528686956958,0.6000052690505981,galaxySED/Exp.50E09.04Z.spec.gz,59983.15955625397
5,33.1,-0.2047,-0.0689,225.89443876400003,0.0643661888334,0.40709395868000003,260.54232842700003,31.715261585,0.826762735485,0.571931272829,0.12465267327299999,0.109589052314,-19.6022537283,-1.2195,187,1,23.8882531373,24.103707649,4.14398851008e-06,0.0,0.0,1002,20.061528686956958,0.6000052690505981,galaxySED/Exp.50E09.04Z.spec.gz,60016.25955625397
6,0.0,0.4561,-1.381,341.766772307,0.0839581684935,0.09332320455080001,103.06017836,89.9969222608,0.794853241522,0.503016591806,0.162632230802,-0.241030024529,-19.1691929924,2.8971,218,0,23.236693581500003,24.3916022968,3.17878154855e-06,0.0,0.0,1003,18.980789568232105,2.077474594116211,galaxySED/Inst.62E09.02Z.spec.gz,60419.990722035065
7,118.90700000000001,-0.6168,0.4604,341.766772307,0.0839581684935,0.09332320455080001,103.06017836,89.9969222608,0.794853241522,0.503016591806,0.162632230802,-0.241030024529,-19.1691929924,-2.4831,218,1,23.404116772,24.3916022968,3.17878154855e-06,0.0,0.0,1003,18.980789568232105,2.077474594116211,galaxySED/Inst.62E09.02Z.spec.gz,60538.897722035064
8,0.0,0.6177,-0.262,181.142453921,0.06573529886730001,0.13292559358300002,19.3807852121,340.220989529,0.554654273615,0.29740549123599996,0.196978676013,-0.10945006340800001,-19.353446175,2.2661,280,0,21.937434650900002,22.8256323279,1.34477204057e-05,0.0,0.0,1004,19.5347481002507,0.859380841255188,galaxySED/Burst.10E10.04Z.spec.gz,60025.59393009606
9,15.622,-0.1513,0.1072,181.142453921,0.06573529886730001,0.13292559358300002,19.3807852121,340.220989529,0.554654273615,0.29740549123599996,0.196978676013,-0.10945006340800001,-19.353446175,-0.9153,280,1,22.921723672,22.8256323279,1.34477204057e-05,0.0,0.0,1004,19.5347481002507,0.859380841255188,galaxySED/Burst.10E10.04Z.spec.gz,60041.21593009606
10,4.385,-0.1441,-0.2938,175.10558176799998,0.04525934680430001,0.189115958556,159.131134966,265.707146851,1.06758519662,0.536428623914,0.013318692395200001,0.0389597516044,-19.378418888,-4.5854,300,0,23.951481957600002,25.6049250242,1.03975637664e-06,0.0,0.0,1005,19.948580004353868,1.5680986642837524,galaxySED/Exp.40E09.02Z.spec.gz,60354.678334573306
11,0.0,-0.0201,0.4176,175.10558176799998,0.04525934680430001,0.189115958556,159.131134966,265.707146851,1.06758519662,0.536428623914,0.013318692395200001,0.0389597516044,-19.378418888,10.8296,300,1,23.0183939844,25.6049250242,1.03975637664e-06,0.0,0.0,1005,19.948580004353868,1.5680986642837524,galaxySED/Exp.40E09.02Z.spec.gz,60350.2933345733
12,0.0,-0.2358,-0.3054,172.748299893,0.04195890463140001,0.313468713756,50.499550564799996,240.120290454,0.431424782787,0.295905506774,-0.06856161577740001,-0.0845537171792,-19.1615451577,2.0591,353,0,21.5542916131,22.3384852096,2.10623836107e-05,0.0,0.0,1006,17.829717957940094,4.9044389724731445,galaxySED/Inst.10E10.04Z.spec.gz,60476.459094739614
13,6.992000000000001,0.1048,0.1192,172.748299893,0.04195890463140001,0.313468713756,50.499550564799996,240.120290454,0.431424782787,0.295905506774,-0.06856161577740001,-0.0845537171792,-19.1615451577,-4.0033,353,1,20.832439868199998,22.3384852096,2.10623836107e-05,0.0,0.0,1006,17.829717957940094,4.9044389724731445,galaxySED/Inst.10E10.04Z.spec.gz,60483.45109473961
14,0.0,0.9621,0.6711,228.691844133,0.03576870451880001,0.41947267035400004,35.2559632868,59.5799068402,0.761967654875,0.286507698285,0.203825120549,0.10136051814500001,-19.438643095899998,2.2173,438,0,23.0612732951,23.925834437600003,4.8816633600400006e-06,0.0,0.0,1007,18.547976565677878,1.2385667562484741,galaxySED/Inst.12E10.02Z.spec.gz,59947.66405560588
15,26.399,-0.6133,0.201,228.691844133,0.03576870451880001,0.41947267035400004,35.2559632868,59.5799068402,0.761967654875,0.286507698285,0.203825120549,0.10136051814500001,-19.438643095899998,-2.5508,438,1,22.9091434168,23.925834437600003,4.8816633600400006e-06,0.0,0.0,1007,18.547976565677878,1.2385667562484741,galaxySED/Inst.12E10.02Z.spec.gz,59974.063055605875
16,0.0,0.4501,-0.3814,166.792780915,0.0851219435358,0.427330229574,337.86154702700003,290.555553512,0.860220893453,0.43858128126699997,0.161010904936,-0.122743702498,-19.1968976894,1.7941,441,0,24.0014227731,24.6360393886,2.5379662746400002e-06,0.0,0.0,1008,20.07474741108028,1.2650418281555176,galaxySED/Burst.80E09.1Z.spec.gz,59890.8488500548
17,17.378,-0.1161,0.1204,166.792780915,0.0851219435358,0.427330229574,337.86154702700003,290.555553512,0.860220893453,0.43858128126699997,0.161010904936,-0.122743702498,-19.1968976894,-1.7905,441,1,24.0036035752,24.6360393886,2.5379662746400002e-06,0.0,0.0,1008,20.07474741108028,1.2650418281555176,galaxySED/Burst.80E09.1Z.spec.gz,59908.226850054794
18,0.0,-0.409,-0.1267,175.28167709099998,0.0600612825708,0.213539111978,13.9385360103,69.7313716267,0.646855561487,0.379338038889,-0.09822423342389999,-0.0073399432962299995,-19.3079452519,3.2523,454,0,22.027047060900003,23.307523558699998,8.62764324607e-06,0.0,0.0,1009,19.762655918237176,1.0539313554763794,galaxySED/Burst.80E09.1Z.spec.gz,60564.23831253241
19,7.627999999999999,0.2238,-0.0365,175.28167709099998,0.0600612825708,0.213539111978,13.9385360103,69.7313716267,0.646855561487,0.379338038889,-0.09822423342389999,-0.0073399432962299995,-19.3079452519,-2.5187,454,1,22.3045824533,23.307523558699998,8.62764324607e-06,0.0,0.0,1009,19.762655918237176,1.0539313554763794,galaxySED/Burst.80E09.1Z.spec.gz,60571.86631253241
20,0.0,-0.7846,-0.3034,177.625640265,0.155557197324,0.159094507823,346.363067126,216.220075269,0.808768506494,0.326058082837,-0.230827938824,-0.04668563137040001,-19.6736284815,2.0492,485,0,23.1770891456,23.956050013600002,4.7476817214699995e-06,0.0,0.0,1010,18.680456020037028,2.359020471572876,galaxySED/Inst.12E10.02Z.spec.gz,60162.272674191445
21,18.435,0.28800000000000003,0.0309,177.625640265,0.155557197324,0.159094507823,346.363067126,216.220075269,0.808768506494,0.326058082837,-0.230827938824,-0.04668563137040001,-19.6736284815,-2.0603,485,1,23.1712238573,23.956050013600002,4.7476817214699995e-06,0.0,0.0,1010,18.680456020037028,2.359020471572876,galaxySED/Inst.12E10.02Z.spec.gz,60180.70767419144
22,0.0,1.0011,-0.2228,216.18709165,0.0354210066082,0.24044062907900002,335.496085207,163.307386631,0.701899955941,0.315802364893,0.289782808446,-0.035397963025800006,-19.3164358874,2.2704,526,0,22.762554170399998,23.652810115700003,6.27736751875e-06,0.0,0.0,1011,19.424808779829526,1.093422770500183,galaxySED/Burst.10E10.02Z.spec.gz,60140.6843709667
23,30.680999999999997,-0.41100000000000003,-0.0357,216.18709165,0.0354210066082,0.24044062907900002,335.496085207,163.307386631,0.701899955941,0.315802364893,0.289782808446,-0.035397963025800006,-19.3164358874,-2.1423,526,1,22.825609396199997,23.652810115700003,6.27736751875e-06,0.0,0.0,1011,19.424808779829526,1.093422770500183,galaxySED/Burst.10E10.02Z.spec.gz,60171.3653709667
24,0.0,-0.1312,-0.3128,179.473030436,0.0392180916643,0.30251100950800003,154.12438843200002,92.73506142459999,0.237688843416,0.179792400722,-0.0626359497141,-0.11453395650699999,-18.9547593148,3.8952,537,0,19.8945608726,21.370885276400003,5.13508328347e-05,0.0,0.0,1012,18.044838327954086,2.297991991043091,galaxySED/Exp.10E10.02Z.spec.gz,60572.187645121594
25,4.921,0.0343,0.063,179.473030436,0.0392180916643,0.30251100950800003,154.12438843200002,92.73506142459999,0.237688843416,0.179792400722,-0.0626359497141,-0.11453395650699999,-18.9547593148,-0.3947,537,1,22.3802174604,21.370885276400003,5.13508328347e-05,0.0,0.0,1012,18.044838327954086,2.297991991043091,galaxySED/Exp.10E10.02Z.spec.gz,60577.108645121596
26,0.0,-0.4005,0.6415,186.11238208,0.0511960203753,0.159815514174,213.036480098,229.911505866,0.621074388896,0.278600479896,-0.176927197782,0.238401659174,-19.2687869862,4.2576,555,0,21.6393377323,23.212249875300003,9.418931794869999e-06,0.0,0.0,1013,19.40302861787084,1.4722198247909546,galaxySED/Exp.62E09.04Z.spec.gz,60525.7721183713
27,17.736,0.1113,-0.1496,186.11238208,0.0511960203753,0.159815514174,213.036480098,229.911505866,0.621074388896,0.278600479896,-0.176927197782,0.238401659174,-19.2687869862,-0.4748,555,1,24.0209730996,23.212249875300003,9.418931794869999e-06,0.0,0.0,1013,19.40302861787084,1.4722198247909546,galaxySED/Exp.62E09.04Z.spec.gz,60543.5081183713
28,0.0,-0.6654,1.3577,251.8466228,0.06067724971530001,0.553939672066,117.737054983,232.07277778,0.541930332038,0.218064770037,-0.256609705746,0.386770369952,-19.027356331300002,1.9026,558,0,22.3907394622,23.0891081932,1.05501424813e-05,0.0,0.0,1014,17.855128577953263,1.2410205602645874,galaxySED/Burst.80E09.04Z.spec.gz,60061.705045916926
29,45.56100000000001,0.5038,-0.3161,251.8466228,0.06067724971530001,0.553939672066,117.737054983,232.07277778,0.541930332038,0.218064770037,-0.256609705746,0.386770369952,-19.027356331300002,-2.6925,558,1,22.0137189133,23.0891081932,1.05501424813e-05,0.0,0.0,1014,17.855128577953263,1.2410205602645874,galaxySED/Burst.80E09.04Z.spec.gz,60107.26604591693
30,0.0,-0.2709,-0.5287,214.581587891,0.086420874333,0.330960974006,228.04207275,245.776815043,0.775501397436,0.55353979349,-0.0823279449219,-0.19080274856499999,-19.2994796566,1.7204,682,0,23.561319863,24.1503934477,3.96957693129e-06,0.0,0.0,1015,19.557210124588497,0.7772955298423767,galaxySED/Burst.10E10.04Z.spec.gz,60293.13101139512
31,37.622,0.0298,0.1321,214.581587891,0.086420874333,0.330960974006,228.04207275,245.776815043,0.775501397436,0.55353979349,-0.0823279449219,-0.19080274856499999,-19.2994796566,-1.085,682,1,24.061819102199998,24.1503934477,3.96957693129e-06,0.0,0.0,1015,19.557210124588497,0.7772955298423767,galaxySED/Burst.10E10.04Z.spec.gz,60330.75301139512
