obsHistID,sessionID,propID,fieldID,fieldRA,fieldDec,filter,expDate,expMJD,night,visitTime,visitExpTime,finRank,FWHMeff,FWHMgeom,transparency,airmass,vSkyBright,filtSkyBrightness,rotSkyPos,rotTelPos,lst,altitude,azimuth,dist2Moon,solarElong,moonRA,moonDec,moonAlt,moonAZ,moonPhase,sunAlt,sunAz,phaseAngle,rScatter,mieScatter,moonIllum,moonBright,darkBright,rawSeeing,wind,humidity,slewDist,slewTime,fiveSigmaDepth,ditheredRA,ditheredDec,obsID
185880,1042,152,1427,0.925184,-0.4789,g,21191155,59825.268009,245,34.0,30.0,9.738095,1.118835,0.971682,0.0,1.290109,21.371684,21.781684,1.344716,-0.490431,0.141574,0.886921,1.700099,2.266994,110.499565,4.213498,-0.384121,-0.294078,4.031054,45.05486,-0.991198,2.23135,95.675992,337048.955568,799.410957,0.002162,0.0,96.335323,0.703864,0.0,0.0,0.0,2.0,24.319149,0.942391841893,-0.498738,185880
185900,1042,152,1427,0.925184,-0.4789,i,21191993,59825.277708,245,34.0,30.0,9.738095,1.175032,1.017876,0.0,1.238899,21.404753,20.044753,1.344716,-0.480271,0.202682,0.939344,1.677356,2.266153,110.505858,4.216517,-0.38449,-0.332159,3.991028,45.16308,-0.948373,2.155906,95.551383,336859.353228,801.631753,0.002172,0.0,93.445369,0.883764,0.0,0.0,0.0,2.0,23.291812,0.942391841893,-0.498738,185900
185870,1042,152,1427,0.925184,-0.4789,r,21190677,59825.262477,245,34.0,30.0,9.738095,0.940231,0.82487,0.0,1.322863,21.351457,21.071457,1.344716,-0.496761,0.106718,0.857087,1.71281,2.267463,110.495974,4.211796,-0.383915,-0.271774,4.053085,44.99315,-1.014503,2.278573,95.74706,337154.645431,798.175983,0.002157,0.0,98.146828,0.583643,0.0,0.0,0.0,2.0,24.159795,0.942391841893,-0.498738,185870
185946,1042,152,1427,0.925184,-0.4789,y,21193885,59825.299606,245,34.0,30.0,9.738095,1.075455,0.936024,0.0,1.147523,21.46857,17.3,1.344716,-0.46289,0.340649,1.058138,1.622421,2.264159,110.520055,4.223488,-0.385358,-0.412785,3.893541,45.407573,-0.844674,2.01347,95.269961,336410.190224,806.920163,0.002195,0.0,88.111123,0.903282,0.0,0.0,0.0,2.0,21.401258,0.942391841893,-0.498738,185946
185926,1042,152,1427,0.925184,-0.4789,z,21193047,59825.289907,245,34.0,30.0,9.738095,1.007771,0.880388,0.0,1.184265,21.442125,19.292125,1.344716,-0.469486,0.279541,1.005459,1.647545,2.265059,110.513769,4.220375,-0.384967,-0.378051,3.937989,45.299256,-0.891614,2.072389,95.394623,336612.821051,804.529617,0.002185,0.0,90.283641,0.78267,0.0,0.0,0.0,2.0,22.924759,0.942391841893,-0.498738,185926
195066,1042,152,1427,0.925184,-0.4789,g,22572265,59841.253075,261,34.0,30.0,9.738095,1.044277,0.910396,0.0,1.157731,21.378262,21.788262,1.392049,-0.41728,0.322733,1.042685,1.62995,1.276738,120.178385,1.799878,0.483208,-0.163213,1.105086,36.896274,-0.951575,2.444482,105.193192,262076.807299,20951.167132,0.001493,7.034892,88.718494,0.7002,0.0,0.0,0.0,2.0,24.424653,0.907976158107,-0.492126,195066
195086,1042,152,1427,0.925184,-0.4789,i,22573103,59841.262775,261,34.0,30.0,9.738095,1.198565,1.03722,0.0,1.124711,21.32878,19.96878,1.392049,-0.412237,0.383841,1.095417,1.603587,1.278298,120.183973,1.802021,0.483507,-0.118156,1.078444,36.807869,-0.916049,2.361203,105.298192,261878.907468,20843.594996,0.001487,13.474987,86.74332,0.972403,0.0,0.0,0.0,2.0,23.245965,0.907976158107,-0.492126,195086
195056,1042,152,1427,0.925184,-0.4789,r,22571787,59841.247543,261,34.0,30.0,9.738095,1.105535,0.96075,0.0,1.178925,21.408616,21.128616,1.392049,-0.421139,0.287876,1.012639,1.644205,1.275832,120.175197,1.798631,0.483036,-0.189168,1.119882,36.946721,-0.970298,2.495618,105.133299,262192.100496,21013.859779,0.001497,3.143241,89.970215,0.801939,0.0,0.0,0.0,2.0,24.028488,0.907976158107,-0.492126,195056
195132,1042,152,1427,0.925184,-0.4789,y,22574995,59841.284673,261,34.0,30.0,9.738095,1.081191,0.940739,0.125,1.066983,21.229919,17.3,1.392049,-0.412918,0.521807,1.21458,1.533388,1.28169,120.196577,1.806665,0.484161,-0.018791,1.014619,36.608441,-0.825634,2.199848,105.535251,261452.087087,20611.744049,0.001472,26.555347,83.21668,0.960891,0.0,0.0,0.0,2.0,21.40998,0.907976158107,-0.492126,195132
195112,1042,152,1427,0.925184,-0.4789,z,22574157,59841.274974,261,34.0,30.0,9.738095,1.21389,1.049818,0.0,1.089894,21.271895,19.404592,1.392049,-0.409997,0.4607,1.161803,1.566885,1.280211,120.190997,1.804641,0.483875,-0.062369,1.043556,36.696742,-0.867203,2.267111,105.430254,261637.700596,20712.545559,0.001479,20.981507,84.627606,1.053688,0.0,0.0,0.0,2.0,22.783129,0.907976158107,-0.492126,195112
201057,1042,152,1427,0.925184,-0.4789,u,23431217,59851.194648,271,34.0,30.0,9.738095,1.192188,1.031979,0.25,1.303804,21.363142,22.023142,1.712211,-0.125602,0.126644,0.874135,1.705563,2.360038,125.45851,3.901526,-0.286049,-0.553827,3.872489,12.381076,-1.000454,3.086229,138.796831,358255.817827,588.158979,0.000267,0.0,97.096191,0.697647,0.0,0.0,0.0,2.0,22.97194,0.950994636081,-0.492126,201057
203015,1042,152,1427,0.925184,-0.4789,g,23699413,59854.298765,274,34.0,30.0,9.738095,0.764808,0.680672,0.0,1.004397,21.583154,21.993154,1.037415,-1.105378,0.834229,1.47719,1.042782,2.02333,126.944657,4.695817,-0.461659,-0.365188,3.825766,42.423522,-0.686953,2.179953,98.715577,286629.56334,1785.639357,0.001929,0.0,79.286109,0.50738,0.0,0.0,0.0,2.0,24.881866,0.905825177871,-0.488819,203015
203030,1042,152,1427,0.925184,-0.4789,i,23700071,59854.30638,274,34.0,30.0,9.738095,0.692843,0.621517,0.0,1.001915,21.585322,20.225322,1.037415,-1.457427,0.882211,1.508961,0.66756,2.021996,126.948249,4.698496,-0.461585,-0.389451,3.790801,42.509544,-0.652515,2.137726,98.615865,286389.467235,1793.513233,0.001937,0.0,79.127888,0.492435,0.0,0.0,0.0,2.0,23.973352,0.905825177871,-0.488819,203030
203005,1042,152,1427,0.925184,-0.4789,r,23698935,59854.293232,274,34.0,30.0,9.738095,0.758762,0.675702,0.0,1.007326,21.580604,21.300604,1.037415,-0.980957,0.799372,1.450121,1.184061,2.024284,126.942045,4.693886,-0.461719,-0.346893,3.850426,42.361049,-0.711333,2.212215,98.788009,286801.672309,1780.026464,0.001924,0.0,79.472543,0.539233,0.0,0.0,0.0,2.0,24.536344,0.905825177871,-0.488819,203005
203062,1042,152,1427,0.925184,-0.4789,y,23702716,59854.336995,274,34.0,30.0,5.875,0.647693,0.584404,0.0,1.008904,21.579234,17.3,4.301841,0.0,1.075095,1.437848,5.054735,2.016405,126.962657,4.709471,-0.461378,-0.474939,3.638075,42.855616,-0.512647,1.995272,98.214979,285388.757283,1826.891542,0.001966,0.0,79.572867,0.462775,0.0,0.0,0.0,120.0,21.976767,0.905825177871,-0.488819,203062
203036,1042,152,1427,0.925184,-0.4789,z,23701662,59854.324796,274,34.0,30.0,5.875,0.650458,0.586676,0.0,1.002791,21.584556,19.434556,3.981485,0.0,0.998236,1.496173,5.412257,2.018676,126.956922,4.705061,-0.461442,-0.443339,3.701279,42.717664,-0.572266,2.051285,98.374731,285794.135037,1813.260082,0.001955,0.0,79.183744,0.454934,0.0,0.0,0.0,120.0,23.48092,0.905825177871,-0.488819,203036
204764,1042,152,1427,0.925184,-0.4789,g,23949811,59857.196891,277,34.0,30.0,9.738095,1.130048,0.980899,0.0,1.208283,20.099357,20.039108,3.05864,1.239756,0.243995,0.974859,1.661535,1.523776,128.246585,5.482409,-0.387216,0.633343,4.59796,74.613219,-0.958567,3.050741,60.510478,243338.098982,9275.820885,0.006505,219.287136,91.683705,0.749829,0.0,0.0,0.0,2.0,23.51841,0.91873105929,-0.488819,204764
204784,1042,152,1427,0.925184,-0.4789,i,23950649,59857.20659,277,34.0,30.0,9.738095,1.02587,0.895265,0.0,1.168225,20.140204,19.328468,3.05864,1.247438,0.305103,1.027484,1.637221,1.522573,128.250898,5.484459,-0.386248,0.582365,4.573778,74.710607,-0.950991,2.946395,60.382189,243364.301014,9312.688512,0.006528,210.14889,89.339851,0.776653,0.0,0.0,0.0,2.0,23.104425,0.91873105929,-0.488819,204784
204754,1042,152,1427,0.925184,-0.4789,r,23949333,59857.191359,277,34.0,30.0,9.738095,1.132308,0.982757,0.0,1.233913,20.075419,20.160906,3.05864,1.23465,0.209138,0.94489,1.67491,1.524445,128.244124,5.481262,-0.387764,0.6625,4.611939,74.557613,-0.960427,3.111032,60.583655,243323.789188,9255.346991,0.006492,224.74292,93.160202,0.798454,0.0,0.0,0.0,2.0,23.544046,0.91873105929,-0.488819,204754
204830,1042,152,1427,0.925184,-0.4789,y,23952541,59857.228488,277,34.0,30.0,9.738095,0.723068,0.646362,0.0,1.097265,20.229505,17.3,3.05864,1.256574,0.443069,1.146573,1.575748,1.519717,128.260628,5.489269,-0.384026,0.468045,4.519991,74.930025,-0.914846,2.723856,60.092547,243429.152729,9400.808842,0.006579,190.763408,85.078344,0.519797,0.0,0.0,0.0,2.0,21.841337,0.91873105929,-0.488819,204830
204810,1042,152,1427,0.925184,-0.4789,z,23951703,59857.218789,277,34.0,30.0,9.738095,0.855348,0.755096,0.0,1.125652,20.190194,18.608858,3.05864,1.254236,0.381961,1.093794,1.604429,1.521007,128.25632,5.487107,-0.385015,0.518534,4.543741,74.83292,-0.933954,2.81962,60.220834,243399.406685,9360.912687,0.006556,199.212032,86.800067,0.647382,0.0,0.0,0.0,2.0,22.77578,0.91873105929,-0.488819,204810
213188,1042,152,1427,0.925184,-0.4789,g,24898165,59868.173214,288,34.0,30.0,9.738095,0.697172,0.625075,0.0,1.181363,21.022552,21.432552,1.273601,-0.540049,0.284049,1.009342,1.645741,1.220715,132.315068,1.702787,0.487407,-0.120571,1.07532,63.914334,-0.883619,3.272358,73.842025,269779.814729,25203.17352,0.004451,42.760323,90.113433,0.358873,0.0,0.0,0.0,2.0,24.702229,0.903674197634,-0.485513,213188
213208,1042,152,1427,0.925184,-0.4789,i,24899003,59868.182913,288,34.0,30.0,9.738095,0.667692,0.600843,0.0,1.145025,20.890472,20.013426,1.273601,-0.533602,0.345157,1.062028,1.620502,1.222241,132.318063,1.704897,0.487795,-0.076272,1.047717,63.825667,-0.88794,3.177399,73.947781,269554.861861,25076.582335,0.004437,62.100175,87.96205,0.388635,0.0,0.0,0.0,2.0,23.900166,0.903674197634,-0.485513,213208
213178,1042,152,1427,0.925184,-0.4789,r,24897687,59868.167682,288,34.0,30.0,9.738095,0.681246,0.611984,0.0,1.204641,21.110536,20.830536,1.273601,-0.544564,0.249193,0.979331,1.659513,1.219829,132.313359,1.70156,0.487183,-0.146121,1.090628,63.964893,-0.878942,3.325855,73.781697,269910.720005,25276.921853,0.004459,31.058441,91.472421,0.358063,0.0,0.0,0.0,2.0,24.414786,0.903674197634,-0.485513,213178
213254,1042,152,1427,0.925184,-0.4789,y,24900895,59868.204811,288,34.0,30.0,9.738095,0.678284,0.609549,0.375,1.081021,20.714455,17.3,1.273601,-0.528933,0.483124,1.181174,1.555141,1.225561,132.324817,1.709466,0.488646,0.021133,0.981423,63.625336,-0.879304,2.963256,74.186514,269068.555283,24803.513842,0.004406,92.390207,84.082935,0.467284,0.0,0.0,0.0,2.0,21.91368,0.903674197634,-0.485513,213254
213234,1042,152,1427,0.925184,-0.4789,z,24900057,59868.195112,288,34.0,30.0,9.738095,0.657908,0.5928,0.375,1.106536,20.753455,19.083168,1.273601,-0.5289,0.422016,1.128386,1.585957,1.224113,132.321827,1.707475,0.488274,-0.021532,1.011506,63.71409,-0.88626,3.057476,74.080781,269280.233726,24922.274996,0.004419,84.603478,85.643161,0.410825,0.0,0.0,0.0,2.0,23.292627,0.903674197634,-0.485513,213234
215614,1042,152,1427,0.925184,-0.4789,g,25155960,59871.156949,291,34.0,30.0,9.738095,0.748847,0.667552,0.0,1.216005,21.420139,21.830139,1.05321,-0.767206,0.233183,0.965559,1.665717,1.65094,133.147167,2.376827,0.39524,-0.676522,1.467174,35.994747,-0.847534,3.416438,106.266476,244300.239167,6098.219602,0.001428,0.0,92.130466,0.400793,0.0,0.0,0.0,2.0,24.791424,0.916580079054,-0.485513,215614
215634,1042,152,1427,0.925184,-0.4789,i,25156798,59871.166648,291,34.0,30.0,9.738095,0.718311,0.642452,0.0,1.174888,21.448769,20.088769,1.05321,-0.75922,0.294291,1.018166,1.641617,1.652879,133.149739,2.379376,0.394938,-0.626164,1.442488,35.905739,-0.859489,3.326925,106.372752,244372.002203,6059.334826,0.001422,0.0,89.732777,0.439749,0.0,0.0,0.0,2.0,23.853191,0.916580079054,-0.485513,215634
215604,1042,152,1427,0.925184,-0.4789,r,25155482,59871.151417,291,34.0,30.0,9.738095,0.754027,0.67181,0.0,1.242307,21.402495,21.122495,1.05321,-0.772458,0.198326,0.935602,1.679001,1.64982,133.1457,2.375354,0.395415,-0.70529,1.481481,36.045533,-0.838699,3.46618,106.205861,244259.578208,6120.785046,0.001432,0.0,93.63989,0.427598,0.0,0.0,0.0,2.0,24.432953,0.916580079054,-0.485513,215604
215680,1042,152,1427,0.925184,-0.4789,y,25158690,59871.188546,291,34.0,30.0,9.738095,0.775652,0.689586,0.0,1.101961,21.50295,17.3,1.05321,-0.749026,0.432257,1.137233,1.581038,1.657138,133.155539,2.384964,0.394282,-0.512951,1.387821,35.70492,-0.869014,3.118458,106.61275,244535.5634,5974.809518,0.001408,0.0,85.364758,0.585051,0.0,0.0,0.0,2.0,21.764273,0.916580079054,-0.485513,215680
215660,1042,152,1427,0.925184,-0.4789,z,25157852,59871.178847,291,34.0,30.0,9.738095,0.737885,0.658541,0.0,1.131158,21.48071,19.33071,1.05321,-0.751919,0.371149,1.08446,1.609231,1.655273,133.152972,2.382518,0.394569,-0.563,1.411922,35.793843,-0.867846,3.211381,106.506442,244462.927623,6011.679064,0.001414,0.0,87.131382,0.504675,0.0,0.0,0.0,2.0,23.285397,0.916580079054,-0.485513,215660
218093,1042,152,1427,0.925184,-0.4789,u,25419477,59874.206913,294,34.0,30.0,9.738095,0.878951,0.774498,0.0,1.043317,21.550013,22.210013,1.906504,0.088124,0.599584,1.281632,1.48147,2.090582,133.861119,3.004771,0.150934,-0.787371,1.916355,11.308775,-0.839094,2.945858,140.698578,299348.900077,1430.412823,0.000236,0.0,81.743549,0.555785,0.0,0.0,0.0,2.0,23.483969,0.929485960473,-0.485513,218093
218713,1042,152,1427,0.925184,-0.4789,u,25498610,59875.122806,295,34.0,30.0,9.738095,0.966321,0.846316,0.0,1.342773,21.339496,21.999496,1.71039,-0.134848,0.08688,0.84013,1.71998,2.198271,134.046541,3.180268,0.05876,-1.099481,3.035455,6.030318,-0.751221,3.684113,151.569304,321795.766996,1002.786041,0.00011,0.0,99.234089,0.512082,0.0,0.0,0.0,2.0,23.173798,0.933787920946,-0.485513,218713
219482,1042,152,1427,0.925184,-0.4789,u,25584611,59876.118191,296,34.0,30.0,9.738095,1.000746,0.874613,0.0,1.355155,21.332181,21.992181,1.731751,-0.115791,0.075008,0.829992,1.724252,2.298534,134.233503,3.380808,-0.045303,-0.976565,3.437573,2.009174,-0.73287,3.713674,163.702291,344195.350731,720.431361,4.1e-05,0.0,99.904929,0.534674,0.0,0.0,0.0,2.0,23.127511,0.938089881419,-0.485513,219482
220306,1042,152,1427,0.925184,-0.4789,u,25671241,59877.120856,297,34.0,30.0,9.738095,0.794224,0.704852,0.125,1.320636,21.35281,22.01281,1.928521,0.087469,0.108997,0.859036,1.711984,2.361541,134.40565,3.591013,-0.150597,-0.817628,3.645264,0.112597,-0.735445,3.689724,176.154111,358600.039071,585.251253,1.2e-05,0.0,98.024575,0.375844,0.0,0.0,0.0,2.0,23.401602,0.942391841893,-0.485513,220306
221009,1042,152,1427,0.925184,-0.4789,u,25757202,59878.11577,298,34.0,30.0,9.738095,0.867148,0.764796,0.0,1.335359,21.343921,22.003921,1.991331,0.147485,0.094157,0.846348,1.717355,2.371214,134.560084,3.810834,-0.250379,-0.61569,3.843232,0.636756,-0.715646,3.722181,170.846205,360815.609759,566.873456,2.1e-05,0.0,98.830408,0.434213,0.0,0.0,0.0,2.0,23.296337,0.946693802366,-0.485513,221009
221784,1042,152,1427,0.925184,-0.4789,u,25843222,59879.111373,299,34.0,30.0,9.738095,0.901211,0.792795,0.0,1.346095,21.337524,21.997524,1.860431,0.014572,0.083661,0.83738,1.72114,2.323149,134.698144,4.046527,-0.339309,-0.397759,3.987737,3.684801,-0.697365,3.748642,157.865812,349810.596077,664.253839,6.7e-05,0.0,99.41448,0.45886,0.0,0.0,0.0,2.0,23.247312,0.950994636081,-0.485513,221784
222588,1042,152,1427,0.925184,-0.4789,u,25930440,59880.120835,300,34.0,30.0,9.738095,0.653076,0.588828,0.5,1.273464,21.382234,22.042234,1.837273,0.005402,0.160474,0.903119,1.693135,2.222946,134.821184,4.304111,-0.410723,-0.227422,4.057172,9.287804,-0.720115,3.677468,144.512672,327209.890018,924.410063,0.000183,0.0,95.403737,0.240943,0.0,0.0,0.0,2.0,23.645939,0.955296596554,-0.485513,222588
225816,1042,152,1427,0.925184,-0.4789,g,26277131,59884.133463,304,34.0,30.0,9.738095,0.763254,0.679395,0.0,1.165957,20.767632,20.806849,2.263046,0.452257,0.30885,1.030714,1.635686,1.575147,135.137321,5.406291,-0.407113,0.520601,4.517107,48.907539,-0.731345,3.569748,91.251968,242836.308263,7830.10347,0.002535,78.832417,89.205783,0.435149,0.0,0.0,0.0,2.0,24.319906,0.905825177871,-0.482206,225816
225836,1042,152,1427,0.925184,-0.4789,i,26277969,59884.143162,304,34.0,30.0,9.738095,0.615975,0.558331,0.0,1.131774,20.804139,19.837699,2.263046,0.457831,0.369958,1.083432,1.609756,1.573874,135.137801,5.408485,-0.406184,0.470429,4.494047,49.018596,-0.751342,3.494438,91.124678,242834.141073,7863.060163,0.002547,75.313448,87.168404,0.321826,0.0,0.0,0.0,2.0,23.906015,0.905825177871,-0.482206,225836
225806,1042,152,1427,0.925184,-0.4789,r,26276653,59884.127931,304,34.0,30.0,9.738095,0.766567,0.682118,0.0,1.187879,20.74624,20.758655,2.263046,0.448151,0.273994,1.000681,1.649755,1.575856,135.137047,5.405063,-0.407638,0.549337,4.530251,48.844189,-0.71834,3.611237,91.324579,242837.836936,7811.813555,0.002529,80.886428,90.495335,0.463893,0.0,0.0,0.0,2.0,24.255586,0.905825177871,-0.482206,225806
225882,1042,152,1427,0.925184,-0.4789,y,26279861,59884.165061,304,34.0,30.0,9.738095,0.591738,0.538409,0.0,1.071841,20.883964,17.3,2.263046,0.459209,0.507925,1.202594,1.541437,1.57085,135.138874,5.41363,-0.404062,0.358242,4.441424,49.269317,-0.782172,3.314271,90.837331,242831.971843,7941.886989,0.002572,67.447397,83.517057,0.339585,0.0,0.0,0.0,2.0,22.063538,0.905825177871,-0.482206,225882
225862,1042,152,1427,0.925184,-0.4789,z,26279023,59884.155362,304,34.0,30.0,9.738095,0.630188,0.570015,0.0,1.095668,20.848833,19.06331,2.263046,0.461012,0.446817,1.14981,1.573889,1.572215,135.138401,5.411318,-0.405006,0.407732,4.464874,49.158272,-0.771074,3.395559,90.964595,242832.432452,7906.194234,0.002561,70.948197,84.980856,0.376119,0.0,0.0,0.0,2.0,23.330532,0.905825177871,-0.482206,225862
228045,1042,152,1427,0.925184,-0.4789,g,26533868,59887.104961,307,34.0,30.0,9.738095,0.718415,0.642537,0.0,1.256314,19.599175,19.516594,2.463519,0.635054,0.180884,0.920627,1.685547,1.077208,135.190317,6.120204,-0.144064,1.069997,5.514916,80.191184,-0.639236,3.760283,52.855757,294256.414409,40458.797464,0.007976,398.50321,94.436126,0.353524,0.0,0.0,0.0,2.0,23.745454,0.91873105929,-0.482206,228045
228065,1042,152,1427,0.925184,-0.4789,i,26534706,59887.11466,307,34.0,30.0,9.738095,0.714333,0.639182,0.0,1.209699,19.633384,18.857674,2.463519,0.644355,0.241991,0.973135,1.662312,1.076568,135.190287,6.121482,-0.142979,1.031573,5.424137,80.276782,-0.668335,3.695947,52.732604,294378.835741,40544.306311,0.008002,385.884516,91.765727,0.419331,0.0,0.0,0.0,2.0,23.264125,0.91873105929,-0.482206,228065
228035,1042,152,1427,0.925184,-0.4789,r,26533390,59887.099429,307,34.0,30.0,9.738095,0.692762,0.62145,0.0,1.286119,19.578385,19.679879,2.463519,0.629154,0.146027,0.890736,1.698463,1.077568,135.190334,6.119482,-0.144679,1.090376,5.572126,80.142292,-0.621417,3.795435,52.926012,294187.637491,40410.805658,0.007962,406.35687,96.112697,0.338967,0.0,0.0,0.0,2.0,23.838607,0.91873105929,-0.482206,228035
228111,1042,152,1427,0.925184,-0.4789,y,26536598,59887.136558,307,34.0,30.0,9.738095,0.644462,0.581748,0.0,1.126661,19.700993,17.3,2.463519,0.658988,0.379958,1.092065,1.605324,1.075067,135.190208,6.124447,-0.140506,0.93529,5.256183,80.469487,-0.722728,3.538185,52.454609,294666.348722,40745.555298,0.00806,361.953072,86.860829,0.394345,0.0,0.0,0.0,2.0,21.961001,0.91873105929,-0.482206,228111
228091,1042,152,1427,0.925184,-0.4789,z,26535760,59887.126859,307,34.0,30.0,9.738095,0.731118,0.652979,0.0,1.160004,19.672606,18.139907,2.463519,0.653792,0.31885,1.039337,1.631563,1.075743,135.190245,6.123119,-0.141606,0.979298,5.324997,80.38423,-0.7007,3.610146,52.577728,294536.85825,40654.842266,0.008035,371.849678,88.853286,0.482178,0.0,0.0,0.0,2.0,22.713551,0.91873105929,-0.482206,228091
229510,1042,152,1427,0.925184,-0.4789,g,27310436,59896.093017,316,34.0,30.0,9.738095,0.993867,0.868959,0.0,1.196906,21.433276,21.843276,2.933474,1.116828,0.260454,0.989023,1.655106,1.302478,134.408643,1.839189,0.484175,-0.242908,1.147645,80.099415,-0.5609,3.806758,52.987568,258933.035267,19245.903214,0.007949,0.0,91.022476,0.638209,0.0,0.0,0.0,2.0,24.493708,0.957447576791,-0.482206,229510
229530,1042,152,1427,0.925184,-0.4789,i,27311274,59896.102716,316,34.0,30.0,9.738095,0.999857,0.873882,0.0,1.158414,21.345502,19.985502,2.933474,1.124026,0.321562,1.041675,1.630437,1.304108,134.407079,1.841435,0.484439,-0.196932,1.122549,80.02578,-0.592137,3.748491,53.093166,258742.613,19142.69188,0.007927,9.927668,88.759013,0.755588,0.0,0.0,0.0,2.0,23.447283,0.957447576791,-0.482206,229530
