obsHistID,sessionID,propID,fieldID,fieldRA,fieldDec,filter,expDate,expMJD,night,visitTime,visitExpTime,finRank,FWHMeff,FWHMgeom,transparency,airmass,vSkyBright,filtSkyBrightness,rotSkyPos,rotTelPos,lst,altitude,azimuth,dist2Moon,solarElong,moonRA,moonDec,moonAlt,moonAZ,moonPhase,sunAlt,sunAz,phaseAngle,rScatter,mieScatter,moonIllum,moonBright,darkBright,rawSeeing,wind,humidity,slewDist,slewTime,fiveSigmaDepth,ditheredRA,ditheredDec,obsID
220,1042,152,1427,0.925184,-0.4789,g,11699,59580.135415,0,34.0,30.0,5.875,1.191609,1.031503,0.0,1.080465,21.519819,21.929819,4.480599,0.0,1.374684,1.182431,4.728826,2.169967,111.113568,4.473494,-0.40988,-0.632153,3.092951,3.838714,-0.562438,3.587218,157.402311,315692.719128,1100.907372,7e-05,0.0,84.048697,0.869226,0.0,0.0,0.0,120.0,24.357859,0.907976158107,-0.505351,220
230,1042,152,1427,0.925184,-0.4789,i,12177,59580.140948,0,34.0,30.0,5.875,1.000512,0.874421,0.0,1.094442,21.508802,20.148802,4.481166,0.0,1.409541,1.15232,4.710746,2.16889,111.109831,4.475624,-0.410151,-0.629984,3.055871,3.812869,-0.57491,3.552263,157.479512,315462.963253,1104.825667,7e-05,0.0,84.905894,0.791241,0.0,0.0,0.0,120.0,23.529519,0.907976158107,-0.505351,230
200,1042,152,1427,0.925184,-0.4789,r,10861,59580.125716,0,34.0,30.0,1.222222,0.978079,0.855981,0.0,1.058624,21.537407,21.257407,4.475299,0.0,1.313576,1.236446,4.765307,2.171836,111.120115,4.469762,-0.409419,-0.633409,3.158201,3.884229,-0.537727,3.64801,157.266963,316091.664655,1094.144426,7.1e-05,0.0,82.69816,0.74412,0.0,0.0,0.837387,140.0,24.234817,0.907976158107,-0.505351,200
276,1042,152,1427,0.925184,-0.4789,y,14069,59580.162846,0,34.0,30.0,5.875,1.305368,1.125012,0.0,1.164212,21.456421,17.3,4.47271,0.0,1.547508,1.033219,4.648693,2.16455,111.095026,4.484039,-0.41128,-0.611246,2.911658,3.711396,-0.614407,3.407013,157.785068,314539.241565,1120.754565,6.8e-05,0.0,89.102576,1.132846,0.0,0.0,0.0,120.0,21.187902,0.907976158107,-0.505351,276
250,1042,152,1427,0.925184,-0.4789,z,13015,59580.150647,0,34.0,30.0,5.875,1.113964,0.967678,0.0,1.122339,21.487349,19.337349,4.479187,0.0,1.470649,1.099539,4.681748,2.166982,111.103277,4.479354,-0.41064,-0.623662,2.991374,3.767761,-0.594407,3.489213,157.614851,315056.538146,1111.799312,6.9e-05,0.0,86.600272,0.928894,0.0,0.0,0.0,120.0,22.841986,0.907976158107,-0.505351,250
1637,1042,152,1427,0.925184,-0.4789,u,183662,59582.125723,2,34.0,30.0,1.222222,0.972653,0.851521,0.0,1.070149,21.528068,22.188068,4.478995,0.0,1.348027,1.206712,4.744481,1.824485,109.776095,5.046684,-0.440133,-0.465409,3.706383,0.342419,-0.538787,3.653528,173.290665,257261.93436,3440.470069,1.7e-05,0.0,83.41254,0.625103,0.0,0.0,0.665408,140.0,23.354807,0.916580079054,-0.505351,1637
2226,1042,152,1427,0.925184,-0.4789,u,264799,59583.064807,3,34.0,30.0,51.632782,1.126026,0.977593,0.125,1.002015,21.57872,22.179955,3.819617,0.0,0.981434,1.507366,5.582941,1.64896,109.140212,5.309234,-0.411323,-0.095838,4.164364,2.783633,-0.33224,3.972193,160.79146,244228.735781,6138.171994,5.3e-05,0.47624,79.134283,0.789856,0.0,0.0,0.912953,140.0,23.227753,0.920882039527,-0.505351,2226
2942,1042,152,1427,0.925184,-0.4789,u,351024,59584.062782,4,34.0,30.0,52.06837,1.122814,0.974953,0.0,1.00218,21.548564,22.041338,3.864103,0.0,0.985876,1.504824,5.53631,1.461909,108.460771,5.577271,-0.352009,0.075861,4.348464,7.921253,-0.324161,3.983869,147.306806,245537.405025,11375.47353,0.000151,2.707862,79.144805,0.78705,0.0,0.0,0.768456,140.0,23.192969,0.925184,-0.505351,2942
3665,1042,152,1427,0.925184,-0.4789,u,437425,59585.062793,5,34.0,30.0,52.082914,0.888719,0.782527,0.0,1.002967,21.471758,21.811424,4.006458,0.0,1.003147,1.493866,5.385617,1.283241,107.776657,5.825604,-0.272029,0.228729,4.52774,15.173722,-0.324384,3.986657,134.14891,261258.261003,20506.519726,0.000355,8.657849,79.194941,0.583295,0.0,0.0,0.489673,140.0,23.378952,0.929485960473,-0.505351,3665
4571,1042,152,1427,0.925184,-0.4789,u,531627,59586.153097,6,34.0,30.0,52.727868,0.928105,0.814902,0.0,1.189572,21.333314,21.993314,4.467964,0.0,1.589301,0.998465,4.632409,1.106977,107.026666,6.073965,-0.169212,-0.107631,4.450328,24.758286,-0.605357,3.491319,120.320352,288680.851458,36675.214079,0.000754,9.206302,90.594384,0.536866,0.0,0.0,0.746811,140.0,23.292444,0.933787920946,-0.505351,4571
