t0,x,y,sigma,gamma,e,theta_e,theta_gamma,zs,zl,snx,sny,MB,mu,sysno,imno,mag,x0,x1,c,twinkles_sysno,bulge_magnorm,r_eff,lens_sed,t_start
6.448,0.4516,-0.2231,195.05703427,0.0995369109269,0.135297304647,290.057984028,201.955076456,0.878329581711,0.368496039122,-0.0630170733129,0.0061015283657,-19.302961803,-7.0683,13864,1,22.48447951,2.60347407789e-06,0.0,0.0,1366,21.2860107422,0.500759077179,Burst.62E09.04Z.spec,60574.4876843
0.0,-1.2039,-0.0334,199.529415855,0.0841662876116,0.270129542602,159.091060836,152.05918739,0.442763546297,0.165610537761,-0.441046193374,-0.146428994232,-19.2391648846,1.9596,13900,0,21.5856640381,1.31828806718e-05,0.0,0.0,1368,20.2873306274,0.384086991812,Burst.40E09.02Z.spec,59865.1086876
22.112,0.1858,0.1038,199.529415855,0.0841662876116,0.270129542602,159.091060836,152.05918739,0.442763546297,0.165610537761,-0.441046193374,-0.146428994232,-19.2391648846,-0.4246,13900,1,23.2461326405,1.31828806718e-05,0.0,0.0,1368,20.2873306274,0.384086991812,Burst.40E09.02Z.spec,59887.2206876
0.0,-0.2607,1.5296,218.771046097,0.0357156010394,0.651909321337,255.756971455,167.771140692,0.614381587458,0.123850380474,-0.245618454703,0.451838998609,-19.1581190438,1.8173,13934,0,22.6426158198,5.52259467167e-06,0.0,0.0,1369,17.2078208923,2.51387201908,Burst.32E09.02Z.spec,60193.9739191
22.218,0.3538,-0.2264,218.771046097,0.0357156010394,0.651909321337,255.756971455,167.771140692,0.614381587458,0.123850380474,-0.245618454703,0.451838998609,-19.1581190438,-0.4578,13934,1,24.1394929155,5.52259467167e-06,0.0,0.0,1369,17.2078208923,2.51387201908,Burst.32E09.02Z.spec,60216.1919191
0.0,1.4937,0.2447,270.821779935,0.0875350816046,0.286573635217,337.211106134,32.0144523907,0.493295346629,0.300208497067,0.642395251111,0.0831791233043,-19.2331936119,1.7741,13969,0,21.9894567814,1.01054078074e-05,0.0,0.0,1370,19.856420517,1.39583664975,Inst.32E09.04Z.spec,60168.8248232
102.57,-0.1292,-0.0315,270.821779935,0.0875350816046,0.286573635217,337.211106134,32.0144523907,0.493295346629,0.300208497067,0.642395251111,0.0831791233043,-19.2331936119,-0.2537,13969,1,24.1011008531,1.01054078074e-05,0.0,0.0,1370,19.856420517,1.39583664975,Inst.32E09.04Z.spec,60271.3948232
0.0,0.9176,-1.2256,251.748107107,0.0222163936086,0.504845607971,303.949705072,210.462664054,0.712275799027,0.257372900089,0.250839270097,-0.313963235712,-19.6826267299,2.0352,14035,0,22.5844466105,6.21790316296e-06,0.0,0.0,1371,17.4227600098,1.61653256219,Burst.32E09.02Z.spec,60247.3466697
46.567,-0.666,0.3256,251.748107107,0.0222163936086,0.504845607971,303.949705072,210.462664054,0.712275799027,0.257372900089,0.250839270097,-0.313963235712,-19.6826267299,-6.6786,14035,1,21.2942507626,6.21790316296e-06,0.0,0.0,1371,17.4227600098,1.61653256219,Burst.32E09.02Z.spec,60293.9136697
0.0,-0.0626,-1.3888,254.233085913,0.0609858760325,0.501038941811,263.314689057,343.596757826,0.631535263583,0.208404955341,-0.0174399999196,-0.202067027398,-19.8285558432,2.7346,14120,0,21.6121734958,9.57043844398e-06,0.0,0.0,1372,17.3228206635,2.1372585238,Burst.32E09.02Z.spec,60503.3335503
20.399,-0.8926,0.5001,254.233085913,0.0609858760325,0.501038941811,263.314689057,343.596757826,0.631535263583,0.208404955341,-0.0174399999196,-0.202067027398,-19.8285558432,-3.5413,14120,1,21.3315012209,9.57043844398e-06,0.0,0.0,1372,17.3228206635,2.1372585238,Burst.32E09.02Z.spec,60523.7325503
18.897,-0.0033,1.0073,254.233085913,0.0609858760325,0.501038941811,263.314689057,343.596757826,0.631535263583,0.208404955341,-0.0174399999196,-0.202067027398,-19.8285558432,7.9757,14120,2,20.4499859946,9.57043844398e-06,0.0,0.0,1372,17.3228206635,2.1372585238,Burst.32E09.02Z.spec,60522.2305503
20.587,0.9249,0.3718,254.233085913,0.0609858760325,0.501038941811,263.314689057,343.596757826,0.631535263583,0.208404955341,-0.0174399999196,-0.202067027398,-19.8285558432,-3.7135,14120,3,21.2799494488,9.57043844398e-06,0.0,0.0,1372,17.3228206635,2.1372585238,Burst.32E09.02Z.spec,60523.9205503
0.0,-0.6792,0.4695,253.017059299,0.0386858402146,0.121436980595,315.24120752,166.210499152,0.905423058581,0.492208854428,-0.0472968897986,0.045900953416,-19.3804972828,5.0369,14124,0,22.9112549162,2.5920111784e-06,0.0,0.0,1373,19.2807693481,1.26232215494,Inst.25E09.02Z.spec,60195.6439504
15.088,0.0339,-0.6537,253.017059299,0.0386858402146,0.121436980595,315.24120752,166.210499152,0.905423058581,0.492208854428,-0.0472968897986,0.045900953416,-19.3804972828,-7.6821,14124,1,22.4529633474,2.5920111784e-06,0.0,0.0,1373,19.2807693481,1.26232215494,Inst.25E09.02Z.spec,60210.7319504
0.0,-2.2638,-1.0015,289.798957926,0.0877177094297,0.263583865678,138.224879053,28.5475686758,0.749260734208,0.198370458355,-0.552036264611,-0.353492614462,-19.5117281624,3.1514,14167,0,22.5238847501,4.68608209394e-06,0.0,0.0,1374,17.3931293488,1.8861770088,Inst.32E09.02Z.spec,60330.0333188
78.485,0.7771,0.6575,289.798957926,0.0877177094297,0.263583865678,138.224879053,28.5475686758,0.749260734208,0.198370458355,-0.552036264611,-0.353492614462,-19.5117281624,-1.3152,14167,1,23.4726640763,4.68608209394e-06,0.0,0.0,1374,17.3931293488,1.8861770088,Inst.32E09.02Z.spec,60408.5183188
0.0,-0.0664,0.7228,238.086400575,0.0317725285047,0.579238637074,263.262009469,29.0318636142,0.629377262209,0.377193934979,-0.0792437772944,0.107175068714,-19.0550632041,2.1997,14375,0,22.6110138963,4.73358372972e-06,0.0,0.0,1375,20.5016098022,1.01045405852,Burst.32E09.02Z.spec,60365.2088158
13.36,-0.558,-0.098,238.086400575,0.0317725285047,0.579238637074,263.262009469,29.0318636142,0.629377262209,0.377193934979,-0.0792437772944,0.107175068714,-19.0550632041,-3.1057,14375,1,22.2365237782,4.73358372972e-06,0.0,0.0,1375,20.5016098022,1.01045405852,Burst.32E09.02Z.spec,60378.5688158
23.584,0.353,-0.1241,238.086400575,0.0317725285047,0.579238637074,263.262009469,29.0318636142,0.629377262209,0.377193934979,-0.0792437772944,0.107175068714,-19.0550632041,-0.8391,14375,2,23.6573882306,4.73358372972e-06,0.0,0.0,1375,20.5016098022,1.01045405852,Burst.32E09.02Z.spec,60388.7928158
12.7,-0.412,-0.4042,238.086400575,0.0317725285047,0.579238637074,263.262009469,29.0318636142,0.629377262209,0.377193934979,-0.0792437772944,0.107175068714,-19.0550632041,4.5311,14375,3,21.8264134157,4.73358372972e-06,0.0,0.0,1375,20.5016098022,1.01045405852,Burst.32E09.02Z.spec,60377.9088158
0.0,-0.6243,-0.1349,201.700357287,0.0766189375109,0.321511408101,92.8485029432,5.69610040044,0.552594075283,0.347795081119,-0.222419964298,-0.0408651384487,-19.3242790808,3.1896,14453,0,21.5855042857,8.34154827118e-06,0.0,0.0,1376,19.0082702637,1.2892865372,Burst.32E09.02Z.spec,60173.1103151
21.046,0.1479,0.0209,201.700357287,0.0766189375109,0.321511408101,92.8485029432,5.69610040044,0.552594075283,0.347795081119,-0.222419964298,-0.0408651384487,-19.3242790808,-0.5154,14453,1,23.5644838068,8.34154827118e-06,0.0,0.0,1376,19.0082702637,1.2892865372,Burst.32E09.02Z.spec,60194.1563151
0.0,-0.7331,0.3457,217.844835916,0.0541475413638,0.183790738725,159.506004274,310.182218279,0.914852993496,0.454590051205,-0.161555108761,0.04643642493,-19.2316029949,2.8284,14482,0,23.7397904116,2.20212745535e-06,0.0,0.0,1377,19.8840103149,0.539268032964,Burst.40E09.02Z.spec,60165.4292636
24.872,0.4452,0.0104,217.844835916,0.0541475413638,0.183790738725,159.506004274,310.182218279,0.914852993496,0.454590051205,-0.161555108761,0.04643642493,-19.2316029949,-3.8574,14482,1,23.4029057926,2.20212745535e-06,0.0,0.0,1377,19.8840103149,0.539268032964,Burst.40E09.02Z.spec,60190.3012636
0.0,-1.5704,-2.4397,250.71197624,0.0805397742645,0.499613136215,15.6550290383,78.6416667529,0.489561094593,0.0551178424318,-0.484983544024,-1.07117839393,-19.3768125089,1.8201,14741,0,21.7958474386,1.174848648e-05,0.0,0.0,1378,14.7249298096,5.83606149706,Burst.32E09.02Z.spec,59837.2503982
30.19,0.052,0.3151,250.71197624,0.0805397742645,0.499613136215,15.6550290383,78.6416667529,0.489561094593,0.0551178424318,-0.484983544024,-1.07117839393,-19.3768125089,-0.2375,14741,1,24.0069265279,1.174848648e-05,0.0,0.0,1378,14.7249298096,5.83606149706,Burst.32E09.02Z.spec,59867.4403982
0.0,-0.6284,0.4591,221.12896929,0.0273510808939,0.134562360057,354.448641195,308.763236173,0.682949320604,0.393975443441,-0.174396510769,0.141243102943,-19.2182314839,2.7833,14769,0,22.5117099996,4.49811314518e-06,0.0,0.0,1379,19.4351806641,1.0311391416,Burst.32E09.02Z.spec,59968.5356151
28.995,0.2251,-0.2238,221.12896929,0.0273510808939,0.134562360057,354.448641195,308.763236173,0.682949320604,0.393975443441,-0.174396510769,0.141243102943,-19.2182314839,-1.6784,14769,1,23.0608713714,4.49811314518e-06,0.0,0.0,1379,19.4351806641,1.0311391416,Burst.32E09.02Z.spec,59997.5306151
0.0,-1.0285,-1.2412,238.755234418,0.0550159699587,0.225898308459,282.268101068,208.307190874,0.657575058653,0.258809758377,-0.418406489511,-0.480643038652,-19.6113660289,2.2806,14831,0,22.1716887255,7.09339045577e-06,0.0,0.0,1381,18.0446605682,1.07579431024,Burst.62E09.04Z.spec,60477.6723826
64.809,0.205,0.1926,238.755234418,0.0550159699587,0.225898308459,282.268101068,208.307190874,0.657575058653,0.258809758377,-0.418406489511,-0.480643038652,-19.6113660289,-0.4388,14831,1,23.9611449783,7.09339045577e-06,0.0,0.0,1381,18.0446605682,1.07579431024,Burst.62E09.04Z.spec,60542.4813826
