galtileid,twinkles_system
14427791,128
14428541,128
14429137,31
14431883,128
14432554,176
14434758,128
14434938,128
14435190,128
14435576,128
14435738,74
14435759,128
14436315,128
14588003,289
14597337,176
14601970,113
14610001,283
14610738,176
14612801,176
14612838,155
14617954,155
14619409,322
14625690,268
14625790,99
14626244,92
14629009,423
14629478,353
14638779,94
14641624,304
14654946,73
14655178,73
14655289,283
14655828,304
14655869,155
14657780,169
14658666,0
14658687,94
14658758,203
14658775,94
14664494,92
14664499,304
14664935,155
14667043,0
14669096,94
14669318,39
14671462,169
14672498,0
14785987,128
14850492,55
14901304,128
14907670,128
14908232,128
14909930,31
14910414,128
14912257,128
14912837,31
14912866,128
14912868,31
14914272,128
15054145,289
15054275,128
15054307,128
15059437,128
15063286,128
15063823,155
15063851,31
15063975,31
15064266,128
15064846,91
15065004,128
15068072,155
15068439,91
15069838,31
15069882,128
15073374,128
15074332,128
15077577,128
15077640,74
15286780,128
15287092,128
15287507,91
15287777,24
15288044,24
15288896,128
15289302,128
15289898,31
15289950,128
15306705,128
15306724,128
15306781,128
15307027,128
15307236,31
15307479,31
15308605,128
15308623,31
15551166,31
15551217,155
15551223,176
15551372,74
15554031,128
15554039,128
15554590,91
15554853,128
15557347,128
15577401,128
15582987,176
15622702,478
15800487,128
15839844,128
15840398,128
15841068,128
15841073,176
15847538,128
15847887,240
15849445,128
15859931,128
15860011,128
15860463,74
15860484,74
15860493,176
15860588,128
15860627,31
15861676,176
15861791,128
15861867,128
15862387,128
15862898,128
15863495,128
15863516,128
15863646,128
15865242,128
15874225,252
15874356,31
15874390,128
15874468,176
15874562,128
15876021,155
15876207,128
15883274,31
15883457,176
15883480,31
15883676,74
15883685,128
15883757,176
15884343,128
15884668,128
15885701,128
15885862,31
15885875,128
15885880,44
15886996,336
15887001,128
15887002,74
15891276,128
15891436,155
15891468,252
15891470,128
15891698,128
15898582,128
15898622,128
15898794,176
15898880,31
15898883,155
15900762,155
15996368,128
15996441,128
15997247,128
15997505,31
16004801,128
16005085,128
16005486,128
16005519,128
16005595,128
16005778,128
16005794,128
16005829,31
16005862,128
16005909,128
16005921,128
16006017,128
16006371,128
16006644,31
16007140,128
16007176,128
16007194,128
16007298,24
16007301,91
16007353,74
16007445,31
16007689,128
16007690,128
16007767,128
16007910,31
16008173,128
16008531,128
16009443,128
16010154,31
16010157,128
16010193,128
16010202,74
16010220,128
16010245,128
16010261,128
16010291,128
16014577,128
16014593,128
16014990,128
16015162,128
16015343,128
16015530,128
16015633,128
16015641,128
16015949,128
16015998,24
16016727,128
16017673,128
16017685,128
16017695,31
16025027,128
16025481,128
16026154,128
16026158,128
16026313,128
16026518,128
16026918,128
16027146,128
16027182,128
16027276,128
16028121,31
16028501,31
16030006,31
16030064,128
16030090,128
16037533,128
16037910,128
16038232,128
16038296,128
16038739,128
16038746,128
16039424,128
16039549,31
16040502,128
16043168,91
16043497,128
16045041,128
16045054,128
16045086,31
16045429,128
16063505,128
16088854,176
16089342,31
16089382,128
16089451,31
16089495,106
16089622,176
16089923,74
16090277,176
16092839,128
16092932,91
16092935,128
16092973,31
16092996,128
16095769,31
16116510,31
16116587,128
16116589,289
16116590,289
16116666,128
16118263,128
16118404,128
16118587,128
16118654,128
16124493,155
16124503,31
16125874,128
16126078,155
16126081,128
16126135,128
16126157,155
16127249,128
16128537,128
16128886,128
17629156,155
17629998,74
17634166,155
17644253,176
17644369,155
17649734,353
17669311,283
17703169,155
17774858,24
17805019,128
17806356,91
17806398,91
17884884,283
17884918,283
17884925,283
18131814,155
18136244,289
18136279,268
18137784,283
18151694,155
18153766,176
18156484,155
18182871,155
18182938,73
18286090,31
18286335,155
18286480,128
18287783,91
18287827,128
18293870,128
18294068,31
18294086,74
18294088,91
18294185,128
18295678,155
18295686,31
18295700,176
18301942,128
18302006,128
18302027,128
18302037,91
18302756,128
18302912,128
18303531,31
18309815,176
18309818,176
18309829,176
18375810,128
18375920,128
18376051,91
18376185,128
18376225,128
18383501,128
18383507,128
18383539,128
18383613,128
18383622,128
18383624,128
18383943,128
18384212,128
18384474,128
18384535,128
18384547,128
18384675,128
18385061,128
18385063,91
18385099,128
18385204,128
18385240,55
18385324,128
18385444,128
18385473,128
18385546,128
18385609,128
18386089,128
18386470,31
18386472,128
18386603,128
18386930,128
18386962,128
18387667,128
18387674,31
18387764,128
18387781,128
18387837,128
18391119,31
18394841,128
18395981,91
18399009,31
18406428,128
18406837,128
18408527,128
18408576,128
18408679,128
18410482,128
18410769,128
18413006,128
18414136,176
18414315,128
18414417,128
18422273,128
18423702,31
18423778,31
18423784,128
18426056,176
18426439,31
18432971,128
18433087,128
18433115,128
18433606,128
18434357,128
18434571,91
18434850,31
18434855,128
18435216,128
18435373,31
18435382,128
18435606,128
18435812,128
18437824,128
18440062,128
18671362,73
18673350,268
18686831,0
18686881,92
18687289,268
18697792,283
19310334,289
19310445,128
19310594,31
19310615,31
19310661,128
19310822,128
19311245,128
19311289,128
19312807,113
19312818,240
19321773,31
19321920,31
19321991,128
19322297,128
19322805,128
19322956,176
19324696,74
19324875,155
19326079,293
19331586,155
19332742,128
19333520,128
19340701,155
19342028,268
19349488,283
19349525,176
19349705,283
19351088,73
19358602,283
19359616,73
19359873,73
19362048,126
19362164,73
19363967,73
19365470,268
19533037,128
19534915,74
19543157,336
19546032,31
19641721,91
19641877,176
19641898,128
20208039,128
20212083,74
20212111,155
20222179,74
20222419,283
20224482,283
20226429,176
20230594,155
20500694,478
20851118,128
20851152,128
20851161,128
20851341,31
20851745,128
20852016,128
20852029,31
20910677,73
20910748,73
20910995,73
20915155,353
20915249,289
20915486,304
20917947,155
20917982,169
20922896,73
20923089,133
20925357,73
20925935,73
20925960,92
20925962,73
20926114,92
20928785,353
20928984,73
20933336,92
20933357,155
20944305,91
20945119,128
20995461,31
21009277,128
21653206,176
21653210,252
21665448,268
