id,ra,dec,mag_norm,redshift,twinkles_id,image_num,lens_gal_id
12729785565212,52.9252951,-27.5212805,23.1622147,1.15,304,0,1272978458
12729785566236,52.9251572,-27.5209601,22.6171936,1.15,304,1,1272978458
13159835463708,53.2124703,-27.3367656,21.8113983,1.92,455,0,1315983386
13159835464732,53.2121765,-27.3366349,21.4997231,1.92,455,1,1315983386
13159835465756,53.2127649,-27.3364613,21.7922632,1.92,455,2,1315983386
13159835466780,53.2123648,-27.3363118,22.0410175,1.92,455,3,1315983386
13205637955612,52.7950123,-27.2506158,21.6285586,1.44,204,0,1320563738
13205637956636,52.7953882,-27.2504179,22.3059476,1.44,204,1,1320563738
13205637957660,52.7948519,-27.2503984,21.8509154,1.44,204,2,1320563738
13205637958684,52.7951208,-27.2501246,21.7912335,1.44,204,3,1320563738
13214803370012,53.02945,-27.5051659,20.9656159,1.84,354,0,1321480218
13214803371036,53.0291448,-27.5050132,23.1949544,1.84,354,1,1321480218
13740514000924,52.7482408,-27.2624587,22.8123368,0.74,176,0,1374051354
13740514001948,52.7478898,-27.2622833,23.5652046,0.74,176,1,1374051354
14512602247196,53.1660325,-27.1960132,22.1796341,2.06,783,0,1451259930
14512602248220,53.1661922,-27.1959648,21.3111388,2.06,783,1,1451259930
15328051519516,52.8864965,-27.6640706,22.014533,1.97,78,0,1532805146
15328051520540,52.8861092,-27.663752,21.1223112,1.97,78,1,1532805146
15513426296860,52.9117146,-27.265693,21.6669281,1.18,92,0,1551342618
15513426297884,52.9117476,-27.2651644,21.2145759,1.18,92,1,1551342618
15629179510812,52.786899,-27.6348829,21.4465157,1.07,154,0,1562917914
15629179511836,52.7862986,-27.634732,20.5760088,1.07,154,1,1562917914
15649466429468,53.25937,-27.3407359,22.8460333,1.44,515,0,1564946458
15649466430492,53.2592827,-27.3405497,23.4131657,1.44,515,1,1564946458
16800471343132,52.7808836,-27.4346371,22.2940175,0.66,74,0,1680047130
16800471344156,52.7811827,-27.4345161,21.8000386,0.66,74,1,1680047130
18375711395868,53.1097819,-27.5598711,21.1179559,1.34,165,0,1837571098
