id,ra,dec,mag_norm,redshift,major_axis,minor_axis
21393434,53.0524882,-27.7029739,17.8301052,0.184,1.6126157,1.15325373
23359514,53.0835258,-27.7073966,19.9346871,0.302,0.916993399,0.901273656
48583706,52.7859078,-27.3040625,20.5389923,0.566,1.69636875,1.09556057
55131162,52.9698595,-27.421821,19.4890999,0.362,1.96228731,1.26610074
78559258,52.9005538,-27.2817165,20.0683712,0.378,0.636205282,0.61210601
79490074,53.12836,-27.5015692,20.0683712,0.378,0.636205282,0.61210601
95752218,52.8538661,-27.2302273,19.9346871,0.302,0.916993399,0.901273656
107250714,53.2548123,-27.5922858,17.8301052,0.184,1.6126157,1.15325373
125760538,53.1406506,-27.6883124,17.7945542,0.202,2.49507319,1.66529518
130236442,53.0173101,-27.5840466,20.0683712,0.378,0.636205282,0.61210601
137016346,53.2361698,-27.4607007,19.9346871,0.302,0.916993399,0.901273656
209841178,52.97364,-27.6448281,19.9346871,0.302,0.916993399,0.901273656
213691418,52.8415551,-27.2080675,17.7945542,0.202,2.49507319,1.66529518
237973530,53.1730141,-27.5310955,19.4836544,0.416,1.46264776,0.904640033
248101914,53.1325291,-27.4671851,17.7945542,0.202,2.49507319,1.66529518
248879130,53.1651327,-27.3737972,20.1252884,0.35,0.821056991,0.532711136
279852058,52.9586604,-27.3791912,17.7945542,0.202,2.49507319,1.66529518
285779994,53.0923026,-27.2312844,18.6967072,0.158,2.29074056,1.05371065
331173914,53.0180091,-27.650244,20.0683712,0.378,0.636205282,0.61210601
364279834,53.0603864,-27.7226555,19.5672764,0.324,0.98472534,0.824830267
377035802,53.1625021,-27.4350698,20.8818192,0.376,0.655113552,0.600803361
419090458,53.0613577,-27.583264,23.1186546,0.716,0.963562444,0.302038958
438830106,52.9705149,-27.2618473,18.9664539,0.254,1.30051794,1.01388314
446211098,52.914772,-27.464102,22.2050346,0.572,0.792022487,0.588905311
495170586,53.1430162,-27.6897231,21.0066246,0.374,0.676109428,0.466955855
495178778,53.2570163,-27.2706744,19.9356827,0.494,1.84330952,1.19474272
689564698,53.1819712,-27.3504724,21.5386814,0.588,1.39756385,0.797815254
729721882,52.9007555,-27.2822517,20.1252884,0.35,0.821056991,0.532711136
732322842,53.0652108,-27.4794812,19.5672764,0.324,0.98472534,0.824830267
791106586,53.1365196,-27.5111169,20.9916004,0.34,0.847998492,0.525402227
928461850,53.1586143,-27.615731,19.4836544,0.416,1.46264776,0.904640033
934304794,52.7938127,-27.4787278,21.4313969,0.562,1.50643626,1.27913627
1037559834,53.1354132,-27.1720623,21.8332428,0.778,1.33619131,0.889690823
1073289242,53.3096442,-27.5704767,20.8337349,0.39,0.380107332,0.238347861
1128980506,53.2019922,-27.4864849,19.4836544,0.416,1.46264776,0.904640033
1139907610,53.0425462,-27.3548299,22.87299,0.822,0.321011786,0.269065595
1272978458,52.9252737,-27.5212009,21.2348446,0.58,0.720919964,0.627720873
1315983386,53.2124526,-27.3365237,21.5802025,0.77,0.512524614,0.366675638
1320563738,52.7951356,-27.2503835,20.5353169,0.476,1.06428346,0.651445991
1321480218,53.0291857,-27.5050377,21.8550209,0.65,1.72284156,1.4432478
1374051354,52.7479836,-27.2623167,20.1296524,0.444,0.829288332,0.643356166
1451259930,53.1660744,-27.1960062,23.9252857,1.402,0.529480051,0.408242197
1532805146,52.8863468,-27.6639758,19.8176769,0.306,0.770320404,0.686046274
1551342618,52.9118419,-27.2654731,19.4706368,0.324,1.56021083,1.1601191
