id,ra,dec,mag_norm,redshift,major_axis,minor_axis
1562917914,52.7867682,-27.634859,20.0445675,0.414,2.05870436,1.67043684
1564946458,53.2593296,-27.3406755,22.5979981,0.842,1.28719483,0.990380575
1680047130,52.7809692,-27.434609,19.9346871,0.302,0.916993399,0.901273656
1837571098,53.1097093,-27.5596461,20.6591229,0.428,0.680967937,0.540437741
1837573146,52.7999286,-27.5615428,23.1186546,0.716,0.963562444,0.302038958
1962444826,52.8231233,-27.2807652,22.5979981,0.842,1.28719483,0.990380575
1994603546,53.2417028,-27.226138,19.8176769,0.306,0.770320404,0.686046274
2003499034,53.1669689,-27.7039325,23.766478,1.278,0.575180159,0.488339286
2158683162,52.7480865,-27.2625861,20.0683712,0.378,0.636205282,0.61210601
2168665114,53.1733667,-27.6691285,17.7945542,0.202,2.49507319,1.66529518
2175853594,52.9199169,-27.4273385,17.7984184,0.188,2.8756053,2.55757514
2215625754,53.1458383,-27.2191275,21.5593723,0.624,0.849134845,0.611536641
2283232282,52.9600214,-27.657366,18.6967072,0.158,2.29074056,1.05371065
2307869722,53.0248399,-27.671981,21.8064045,0.556,1.85172403,1.6066541
2326521882,52.7492003,-27.3056766,19.432301,0.304,0.971466396,0.683827922
2333313050,52.7328459,-27.5508714,20.853537,0.372,0.674065296,0.495069144
2375313434,52.9771977,-27.6284363,21.5276131,0.64,1.12039244,0.995185002
2453795866,52.7102759,-27.402557,19.2416367,0.23,2.11552197,0.812163905
2513223706,53.257992,-27.2385392,19.8176769,0.306,0.770320404,0.686046274
2555312154,53.085261,-27.1483442,21.0792851,0.322,1.04369452,0.921389389
2575124506,53.3083193,-27.3222116,23.4078735,1.122,0.432233637,0.320985603
2575333402,53.0163973,-27.2837685,22.2753758,1.184,0.748625768,0.62467303
2611178522,53.1730769,-27.5813853,19.9346871,0.302,0.916993399,0.901273656
2665274394,53.0653898,-27.5864784,20.5353169,0.476,1.06428346,0.651445991
2724582426,53.240067,-27.6067856,20.1296524,0.444,0.829288332,0.643356166
2724641818,52.9331866,-27.7030042,23.8216538,1.396,0.786958151,0.383590868
2730710042,53.0570515,-27.3509256,21.5273232,0.592,0.579730443,0.394179135
2818411546,52.8287034,-27.3330228,21.6548218,0.874,0.859579018,0.655467252
2829297690,52.7223361,-27.3847165,21.4870133,0.62,1.73230269,1.34033993
2835515418,52.9361254,-27.4055244,21.0932583,0.636,1.1935643,0.934174851
2876579866,52.8336773,-27.6263749,22.5939507,1.118,0.853375207,0.590332113
2907779098,52.7624014,-27.2720965,22.8632092,1.192,1.119857,0.782109359
2948839450,52.9513846,-27.5135622,20.8190979,0.502,2.19354198,1.72558051
2965141530,52.9882562,-27.3971614,20.1416573,0.548,2.15827756,1.69709918
2990989338,52.8655133,-27.2589641,20.7879643,0.45,0.393193294,0.375293428
2991978522,52.8235567,-27.4260206,19.4836544,0.416,1.46264776,0.904640033
3078137882,53.0433404,-27.3047374,21.8396114,0.404,0.607125743,0.481874367
3207327770,52.9701439,-27.5546706,22.5979981,0.842,1.28719483,0.990380575
3254083610,52.9327696,-27.2866953,22.578009,1.01,0.916524517,0.372279519
3265939482,52.783046,-27.2867431,20.4819206,0.526,1.43855841,0.960616943
3290487834,53.0131155,-27.2384526,23.0982365,1.002,0.780894067,0.372571353
3293258778,52.9230946,-27.4559684,21.2701687,0.736,0.963707691,0.853494225
3293259802,52.9246671,-27.6833239,21.1090187,0.502,1.68721061,1.04019537
3324600346,53.0983957,-27.5672791,22.377684,0.81,0.81969104,0.554722714
3508872218,53.0803018,-27.3145782,19.9648861,0.302,0.902411719,0.583314604
3565874202,53.0267056,-27.5120611,22.2899727,0.952,1.44582075,0.709215272
3572757530,52.9920634,-27.5859877,21.8408054,0.51,0.567594944,0.32544651
3573713946,53.1836855,-27.5285117,24.6206078,1.576,0.306532268,0.126718938
3599055898,52.9682263,-27.3505324,23.1617073,1.118,0.942968268,0.572045005
3649836058,53.3026969,-27.5225204,20.0683712,0.378,0.636205282,0.61210601
3901312026,52.8796285,-27.6495712,18.2495999,0.164,1.37249947,0.818936668
3912340506,53.2219693,-27.3569377,23.5223431,1.254,1.20235714,1.13600161
4007873562,52.9528416,-27.4844447,22.87299,0.822,0.321011786,0.269065595
4038459418,53.0929678,-27.620407,20.4362396,0.384,0.724699294,0.559635261
4259816474,52.8576411,-27.2857618,21.1875462,0.63,2.36606268,1.04052835
4272891930,53.0663807,-27.2871756,21.6234631,0.546,0.669478877,0.496475158
4394320922,52.9268238,-27.5498287,19.5914616,0.436,2.08831584,1.48793903
4400539674,53.323045,-27.5185385,24.8030838,1.79,0.192056714,0.104975089
4413205530,53.0676299,-27.4824405,21.7335819,0.714,2.00022668,1.9552433
4459341850,53.0870527,-27.3973339,20.4434952,0.554,2.58715459,1.1605308
4514607130,53.0012068,-27.3004711,23.5223431,1.254,1.20235714,1.13600161
4585055258,52.7620903,-27.4794624,21.2061123,0.622,0.62101244,0.429889589
4779028506,53.0037353,-27.6534666,19.8218788,0.196,1.09212651,0.588368853
4780760090,53.2456861,-27.4595179,20.7935108,0.456,0.609912999,0.479672238
4940666906,52.7892947,-27.403649,16.9841942,0.084,1.21188661,0.822928575
4949294106,52.8092678,-27.6644824,19.4836544,0.416,1.46264776,0.904640033
5090862106,53.0982432,-27.624291,20.7034535,0.444,0.993747146,0.939898751
5145491482,53.3364195,-27.5092643,21.6730293,0.498,0.330382527,0.222521255
5145496602,52.8960698,-27.164959,21.0285534,0.46,0.563949886,0.324438057
5200988186,53.079225,-27.4638521,16.7431845,0.072,3.5917592,2.56308655
5200990234,53.2116499,-27.458166,20.9916004,0.34,0.847998492,0.525402227
5393677338,52.9173428,-27.609538,22.1646637,0.744,1.17595942,0.950467316
5472770074,52.8337966,-27.5323133,22.5939507,1.118,0.853375207,0.590332113
5818009626,52.7625289,-27.386756,21.4440502,0.632,0.872683457,0.595034852
5857417242,53.1367799,-27.5591452,21.8945622,0.574,0.589895619,0.387386577
5876710426,53.2415251,-27.4289042,21.4313969,0.562,1.50643626,1.27913627
5877047322,52.8954512,-27.4533034,21.0792851,0.322,1.04369452,0.921389389
6088074266,52.8438807,-27.5261272,20.7490753,0.468,1.23193833,0.320296205
6116355098,52.7338119,-27.5225234,20.1416573,0.548,2.15827756,1.69709918
6304147482,52.9424128,-27.5904574,19.9648861,0.302,0.902411719,0.583314604
6400305178,52.9605333,-27.486536,21.2348446,0.58,0.720919964,0.627720873
6545114138,52.7731523,-27.4221946,20.0445675,0.414,2.05870436,1.67043684
6574688282,52.8941994,-27.1668842,19.6977314,0.37,0.882689657,0.72372996
6584223770,52.8611986,-27.6138137,22.4398388,0.72,0.997172467,0.753164763
7082771482,53.1667419,-27.6843277,21.1959004,0.376,0.288297161,0.262936219
7402203162,53.2171945,-27.2611927,21.4313969,0.562,1.50643626,1.27913627
7691085850,53.0006714,-27.5936369,20.672192,0.46,0.825187029,0.682206295
8080909338,52.7681269,-27.4304775,22.5939507,1.118,0.853375207,0.590332113
8103204890,52.8485437,-27.3924969,21.9731487,0.61,0.348018852,0.220798299
8451642394,53.1804388,-27.6726659,21.2348446,0.58,0.720919964,0.627720873
8621504538,52.8243129,-27.3026022,19.6977314,0.37,0.882689657,0.72372996
8651367450,52.7475362,-27.3665101,20.5688099,0.496,0.934380462,0.61812108
8684649498,53.2808681,-27.4739013,21.1090187,0.502,1.68721061,1.04019537
8704202778,53.0996026,-27.6183215,19.9638085,0.326,0.887275139,0.683027774
9399493658,53.0623819,-27.6658413,20.2535271,0.398,2.81367581,0.868382515
9854738458,53.1897654,-27.6302627,21.1248345,0.53,1.94483921,1.67174411
10020701210,52.785417,-27.5254928,20.4362396,0.384,0.724699294,0.559635261
10065366042,53.1655481,-27.347938,21.5386814,0.588,1.39756385,0.797815254
10353375258,52.7475594,-27.5978546,21.592688,0.648,0.813723902,0.648491323
10357601306,52.9830621,-27.4378306,16.7431845,0.072,3.5917592,2.56308655
10538150938,53.2363449,-27.290742,22.7933716,0.808,1.24913699,1.03687814
11357188122,53.2951972,-27.5922334,20.1416573,0.548,2.15827756,1.69709918
11794322458,52.9931159,-27.1645631,19.6977314,0.37,0.882689657,0.72372996
11807794202,53.3430842,-27.4021424,21.2975277,0.518,1.15398483,0.776351024
11816612890,52.8012572,-27.6221814,22.9531235,1.092,0.629257403,0.432797012
11958503450,53.2166615,-27.5588849,22.5979981,0.842,1.28719483,0.990380575
12000470042,53.0796381,-27.1834294,21.3970913,0.514,1.56763209,1.4266207
12118736922,53.3191207,-27.4749214,21.2194618,0.684,1.31352319,0.867901647
12453613594,53.0144093,-27.382899,21.2096104,0.576,1.2627321,0.902811403
12471007258,53.1943475,-27.3573653,21.2253212,0.592,1.76137122,0.493589409
12597740570,53.0606078,-27.5893972,20.2823967,0.42,1.52799821,1.32262898
12615974938,53.1950227,-27.6142226,23.219643,0.994,0.452246736,0.299965537
13117232154,53.2634539,-27.2783595,20.1921829,0.364,0.674011457,0.104536548
13189046298,52.9421952,-27.1809376,19.9356827,0.494,1.84330952,1.19474272
13293599770,53.0330772,-27.1518577,20.765736,0.552,2.48212515,1.20963788
13321112602,53.1203571,-27.6697941,22.5979981,0.842,1.28719483,0.990380575
13890284570,52.7852423,-27.426804,22.5979981,0.842,1.28719483,0.990380575
14176802842,53.1718359,-27.1830703,19.6977314,0.37,0.882689657,0.72372996
14446630938,52.7966227,-27.2662182,19.6977314,0.37,0.882689657,0.72372996
14544366618,53.2280736,-27.463007,18.7305016,0.18,1.68146777,1.2314019
14964129818,52.87661,-27.2714592,20.8190979,0.502,2.19354198,1.72558051
15088954394,52.9688964,-27.6409887,21.3970913,0.514,1.56763209,1.4266207
15396595738,52.9363759,-27.6450516,22.9531235,1.092,0.629257403,0.432797012
15498521626,53.068155,-27.223177,21.5295166,0.53,0.758455149,0.714545268
15999139866,53.0384992,-27.5206916,21.1791939,0.53,0.383215245,0.248523058
16094503962,53.0719687,-27.376223,21.4772133,0.52,0.573236593,0.539942031
16104002586,52.8425443,-27.462101,19.9638085,0.326,0.887275139,0.683027774
16105155610,53.204926,-27.4107521,20.6520657,0.424,0.396481607,0.301841487
16510947354,52.9602657,-27.6715201,21.1497387,0.536,1.29482059,1.16278139
16674477082,52.9543641,-27.5469458,20.7879643,0.45,0.393193294,0.375293428
16719654938,52.9667372,-27.1662263,21.2061123,0.622,0.62101244,0.429889589
16940769306,53.298986,-27.3246894,22.2753758,1.184,0.748625768,0.62467303
17168862234,53.1148257,-27.4874941,24.6638817,1.4,0.206157008,0.142029211
17434929178,52.8487817,-27.2930818,21.0066246,0.374,0.676109428,0.466955855
17601890330,53.0994223,-27.2691998,20.765736,0.552,2.48212515,1.20963788
17650480154,52.9878144,-27.1900479,22.9690651,0.866,0.332556502,0.194473455
17738957850,53.0465769,-27.600534,19.8380455,0.302,0.76744728,0.555978333
17771249690,52.9972745,-27.6130524,22.4778618,1.29,1.70986265,1.49816096
17782159386,53.1373472,-27.6597003,20.7879643,0.45,0.393193294,0.375293428
17811740698,53.0514447,-27.5089786,21.2061123,0.622,0.62101244,0.429889589
17811828762,53.0828431,-27.4320199,24.3225178,1.578,0.224972338,0.17585496
17818727450,52.9780842,-27.2758441,23.0317597,0.72,1.83041855,0.887151703
17819730970,52.7660046,-27.2387763,18.2376923,0.25,2.33966109,1.7759125
17822678042,53.0993321,-27.6782551,18.8982987,0.27,0.772421474,0.734353199
17823339546,53.2918614,-27.5614677,20.1416573,0.548,2.15827756,1.69709918
17823342618,52.7228642,-27.2950763,18.2376923,0.25,2.33966109,1.7759125
17829176346,52.935723,-27.4285302,18.2376923,0.25,2.33966109,1.7759125
17832086554,52.7285403,-27.3345408,23.5223431,1.254,1.20235714,1.13600161
17834571802,53.0114955,-27.5607799,21.2305912,0.54,0.681722087,0.487558842
17835368474,53.0152615,-27.364143,21.5276131,0.64,1.12039244,0.995185002
17837303834,53.3129758,-27.3915446,20.1416573,0.548,2.15827756,1.69709918
17840952346,53.0438096,-27.6208923,21.5223736,0.6,1.40321927,1.22068921
17844662298,52.7587785,-27.3685922,19.4069828,0.364,1.93174191,1.37263457
17844666394,53.1696885,-27.3925838,21.858664,0.732,3.06979986,1.47084426
