galtileid,uniqueid,ra,dec,redshift
483573,495178778,53.2570163,-27.2706744,0.494
10291163,10538150938,53.2363449,-27.290742,0.808
12809797,13117232154,53.2634539,-27.2783595,0.364
6916769,7082771482,53.1667419,-27.6843277,0.376
8253557,8451642394,53.1804388,-27.672666,0.58
1956542,2003499034,53.1669689,-27.7039325,1.278
12178718,12471007258,53.1943475,-27.3573653,0.592
243046,248879130,53.1651327,-27.3737972,0.35
9829459,10065366042,53.1655481,-27.347938,0.588
673403,689564698,53.1819712,-27.3504724,0.588
5079090,5200988186,53.079225,-27.4638521,0.072
17394364,17811828762,53.0828431,-27.4320199,1.578
15727691,16105155610,53.204926,-27.4107521,0.424
242287,248101914,53.1325291,-27.4671851,0.202
368199,377035802,53.1625021,-27.4350698,0.376
17426432,17844666394,53.1696885,-27.3925838,0.732
2809160,2876579866,52.8336773,-27.6263749,1.118
6429906,6584223770,52.8611986,-27.6138137,0.72
17354736,17771249690,52.9972745,-27.6130524,1.29
14735307,15088954394,52.9688964,-27.6409887,0.514
2319642,2375313434,52.9771977,-27.6284363,0.64
7510826,7691085850,53.0006714,-27.5936369,0.46
3489021,3572757530,52.9920634,-27.5859877,0.51
4291329,4394320922,52.9268238,-27.5498287,0.436
16283669,16674477082,52.9543641,-27.5469458,0.45
3132156,3207327770,52.9701439,-27.5546706,0.842
5267263,5393677338,52.9173428,-27.609538,0.744
6156394,6304147482,52.9424128,-27.5904574,0.302
12320288,12615974938,53.1950227,-27.6142226,0.994
9623768,9854738458,53.1897654,-27.6302627,0.53
906701,928461850,53.1586143,-27.615731,0.416
1102520,1128980506,53.2019922,-27.4864849,0.416
3489955,3573713946,53.1836855,-27.5285117,1.576
232396,237973530,53.1730141,-27.5310955,0.416
17422805,17840952346,53.0438096,-27.6208923,0.6
3943808,4038459418,53.0929678,-27.620407,0.384
8500198,8704202778,53.0996026,-27.6183215,0.326
4971545,5090862106,53.0982432,-27.624291,0.444
3246680,3324600346,53.0983957,-27.5672791,0.81
1794503,1837571098,53.1097093,-27.5596461,0.428
5720134,5857417242,53.1367799,-27.5591452,0.574
2549979,2611178522,53.1730769,-27.5813853,0.302
409268,419090458,53.0613577,-27.583264,0.716
12302481,12597740570,53.0606078,-27.5893972,0.42
2602807,2665274394,53.0653898,-27.5864784,0.476
17416574,17834571802,53.0114955,-27.5607799,0.54
127184,130236442,53.0173101,-27.5840466,0.378
17323201,17738957850,53.0465769,-27.600534,0.302
16766467,17168862234,53.1148257,-27.4874941,1.4
77627,79490074,53.12836,-27.5015692,0.378
772565,791106586,53.1365196,-27.5111169,0.34
15624160,15999139866,53.0384992,-27.5206916,0.53
4309771,4413205530,53.0676299,-27.4824405,0.714
715159,732322842,53.0652108,-27.4794812,0.324
17394278,17811740698,53.0514447,-27.5089786,0.622
3482299,3565874202,53.0267056,-27.5120611,0.952
1290508,1321480218,53.0291857,-27.5050377,0.65
2117837,2168665114,53.1733667,-27.6691285,0.202
13008899,13321112602,53.1203571,-27.6697941,0.842
17365390,17782159386,53.1373472,-27.6597003,0.45
122813,125760538,53.1406506,-27.6883124,0.202
483565,495170586,53.1430162,-27.6897231,0.374
323412,331173914,53.0180091,-27.650244,0.378
2253779,2307869722,53.0248399,-27.671981,0.556
9179193,9399493658,53.0623819,-27.6658413,0.398
20892,21393434,53.0524882,-27.7029739,0.184
17404959,17822678042,53.0993321,-27.6782551,0.27
22812,23359514,53.0835258,-27.7073966,0.302
355742,364279834,53.0603864,-27.7226555,0.324
4833295,4949294106,52.8092678,-27.6644824,0.416
3809875,3901312026,52.8796285,-27.6495712,0.164
2229719,2283232282,52.9600214,-27.657366,0.158
204923,209841178,52.97364,-27.6448281,0.302
16123972,16510947354,52.9602656,-27.6715201,0.536
15035738,15396595738,52.9363759,-27.6450516,1.092
2660783,2724641818,52.9331866,-27.7030042,1.396
3216074,3293259802,52.9246671,-27.6833239,0.502
1496880,1532805146,52.8863468,-27.6639758,0.306
4667020,4779028506,53.0037353,-27.6534666,0.196
3820645,3912340506,53.2219693,-27.3569377,1.254
1285140,1315983386,53.2124526,-27.3365237,0.77
5079092,5200990234,53.2116499,-27.458166,0.34
5738975,5876710426,53.2415251,-27.4289042,0.562
2514770,2575124506,53.3083193,-27.3222116,1.122
16543720,16940769306,53.298986,-27.3246894,1.184
1528268,1564946458,53.2593296,-27.3406755,0.842
2660725,2724582426,53.240067,-27.6067856,0.444
17405605,17823339546,53.2918614,-27.5614677,0.548
104737,107250714,53.2548123,-27.5922858,0.184
11834704,12118736922,53.3191207,-27.4749214,0.684
4297402,4400539674,53.323045,-27.5185385,1.79
5024894,5145491482,53.3364195,-27.5092643,0.498
8481103,8684649498,53.2808681,-27.4739013,0.502
11678226,11958503450,53.2166615,-27.5588849,0.842
3564293,3649836058,53.3026969,-27.5225204,0.378
14203483,14544366618,53.2280736,-27.463007,0.18
4668711,4780760090,53.2456861,-27.4595179,0.456
133805,137016346,53.2361698,-27.4607007,0.302
17419242,17837303834,53.3129758,-27.3915446,0.548
11531049,11807794202,53.3430842,-27.4021424,0.518
11091004,11357188122,53.2951972,-27.5922334,0.548
1048134,1073289242,53.3096442,-27.5704767,0.39
3005994,3078137882,53.0433404,-27.3047374,0.404
17417352,17835368474,53.0152615,-27.364143,0.64
3426633,3508872218,53.0803018,-27.3145782,0.302
4354826,4459341850,53.0870527,-27.3973339,0.554
12161732,12453613594,53.0144093,-27.382899,0.576
1113191,1139907610,53.0425462,-27.3548299,0.822
2666709,2730710042,53.0570515,-27.3509256,0.592
15717289,16094503962,53.0719687,-27.376223,0.52
8419438,8621504538,52.8243129,-27.3026022,0.37
17026298,17434929178,52.8487817,-27.2930818,0.374
2752355,2818411546,52.8287034,-27.3330228,0.874
2921854,2991978522,52.8235567,-27.4260206,0.416
7913286,8103204890,52.8485437,-27.3924969,0.61
4408796,4514607130,53.0012068,-27.3004711,1.254
6250298,6400305178,52.9605333,-27.486536,0.58
2879726,2948839450,52.9513846,-27.5135622,0.502
1243143,1272978458,52.9252737,-27.5212009,0.58
3913939,4007873562,52.9528416,-27.4844447,0.822
5344502,5472770074,52.8337966,-27.5323133,1.118
5945385,6088074266,52.8438807,-27.5261272,0.468
15726565,16104002586,52.8425443,-27.462101,0.326
5739304,5877047322,52.8954512,-27.4533034,0.322
53839,55131162,52.9698595,-27.421821,0.362
435753,446211098,52.914772,-27.464102,0.572
10114845,10357601306,52.9830621,-27.4378306,0.072
273293,279852058,52.9586604,-27.3791912,0.202
3514703,3599055898,52.9682263,-27.3505324,1.118
2895646,2965141530,52.9882562,-27.3971614,0.548
3216073,3293258778,52.9230946,-27.4559684,0.736
17411305,17829176346,52.935723,-27.4285302,0.25
2124857,2175853594,52.9199169,-27.4273385,0.188
2769058,2835515418,52.9361254,-27.4055244,0.636
47445,48583706,52.7859078,-27.3040625,0.566
17405608,17823342618,52.7228642,-27.2950763,0.25
17414147,17832086554,52.7285403,-27.3345408,1.254
2271994,2326521882,52.7492003,-27.3056766,0.304
17426428,17844662298,52.7587785,-27.3685922,0.364
8448601,8651367450,52.7475362,-27.3665101,0.496
2396285,2453795866,52.7102759,-27.402557,0.23
6391713,6545114138,52.7731523,-27.4221946,0.414
4824870,4940666906,52.7892947,-27.403649,0.084
7891513,8080909338,52.7681269,-27.4304775,1.118
13564731,13890284570,52.7852423,-27.426804,0.842
1640671,1680047130,52.7809692,-27.434609,0.302
2762986,2829297690,52.7223361,-27.3847165,0.62
5681650,5818009626,52.7625289,-27.386756,0.632
1526287,1562917914,52.7867681,-27.634859,0.414
11539661,11816612890,52.8012572,-27.6221814,1.092
2278626,2333313050,52.7328459,-27.5508714,0.372
9785841,10020701210,52.785417,-27.5254928,0.384
1794505,1837573146,52.7999286,-27.5615428,0.716
10110718,10353375258,52.7475594,-27.5978546,0.648
912407,934304794,52.7938127,-27.4787278,0.562
4477593,4585055258,52.7620903,-27.4794624,0.622
5973003,6116355098,52.7338119,-27.5225234,0.548
7228714,7402203162,53.2171945,-27.2611927,0.562
1947855,1994603546,53.2417028,-27.226138,0.306
2454320,2513223706,53.257992,-27.2385391,0.306
1417246,1451259930,53.1660744,-27.1960062,1.402
13844534,14176802842,53.1718359,-27.1830703,0.37
17189346,17601890330,53.0994223,-27.2691998,0.552
279082,285779994,53.0923026,-27.2312844,0.158
4172746,4272891930,53.0663807,-27.2871756,0.546
2163697,2215625754,53.1458383,-27.2191275,0.624
4159977,4259816474,52.8576411,-27.2857618,0.63
76718,78559258,52.9005538,-27.2817165,0.378
712619,729721882,52.9007555,-27.2822517,0.35
1514983,1551342618,52.9118419,-27.2654731,0.324
2920888,2990989338,52.8655133,-27.2589641,0.45
14613408,14964129818,52.8766099,-27.2714592,0.502
3177816,3254083610,52.9327696,-27.2866953,1.01
428545,438830106,52.9705149,-27.2618473,0.254
17401101,17818727450,52.9780842,-27.2758441,0.72
12879928,13189046298,52.9421952,-27.1809376,0.494
17236797,17650480154,52.9878144,-27.1900479,0.866
11517893,11794322458,52.9931159,-27.1645631,0.37
16327788,16719654938,52.9667372,-27.1662263,0.622
12982031,13293599770,53.0330772,-27.1518577,0.552
2514974,2575333402,53.0163973,-27.2837685,1.184
15135275,15498521626,53.068155,-27.223177,0.53
3213367,3290487834,53.0131155,-27.2384526,1.002
1013242,1037559834,53.1354132,-27.1720623,0.778
2495422,2555312154,53.085261,-27.1483442,0.322
11719209,12000470042,53.0796381,-27.1834294,0.514
14108038,14446630938,52.7966227,-27.2662182,0.37
3189394,3265939482,52.783046,-27.2867431,0.526
2839628,2907779098,52.7624014,-27.2720965,1.192
2108089,2158683162,52.7480865,-27.2625861,0.378
1341847,1374051354,52.7479836,-27.2623167,0.444
1289613,1320563738,52.7951356,-27.2503835,0.476
