,prefix,uniqueId,raPhoSim,decPhoSim,phosimMagNorm,sedFilepath,redshift,shear1,shear2,kappa,raOffset,decOffset,spatialmodel,majorAxis,minorAxis,positionAngle,sindex,internalExtinctionModel,internalAv,internalRv,galacticExtinctionModel,galacticAv,galacticRv,galaxy_id,twinkles_system,image_number,uniqueId_lens,raPhoSim_lens,decPhoSim_lens
0,object,179840022348185707,53.13155576221105,-28.599572427452465,20.2865938,galaxySED/Const.12E10.04Z.spec.gz,0.09004473689999999,2.1045001699999997e-05,0.0018505964399999997,-0.000145901323,0,0,sersic2d,1.86642337,1.63479483,4.67451065,1,CCM,0.8,4.000000000000002,CCM,0.0292675603,3.1,2562502182,1100,0,2624002234465,53.13120394506008,-28.599569698137003
1,object,179840022348186731,53.13117039765011,-28.599569511940434,20.2865938,galaxySED/Const.12E10.04Z.spec.gz,0.09004473689999999,2.1045001699999997e-05,0.0018505964399999997,-0.000145901323,0,0,sersic2d,1.86642337,1.63479483,4.67451065,1,CCM,0.8,4.000000000000002,CCM,0.0292675603,3.1,2562502182,1100,1,2624002234465,53.13120394506008,-28.599569698137003
2,object,179840029075869803,53.605522140672,-28.38749391017792,25.1723216,galaxySED/Const.10E10.0005Z.spec.gz,0.0955643103,0.000686200865,0.000152473829,-0.00017001315200000002,0,0,sersic2d,0.48518720299999996,0.257293522,65.7468427,1,CCM,0.1,2.3000000000000003,CCM,0.0279946329,3.1,2562502839,1101,0,2624002907233,53.60576264687625,-28.3874968665345
3,object,179840029075870827,53.605906705429106,-28.387497321102952,25.1723216,galaxySED/Const.10E10.0005Z.spec.gz,0.0955643103,0.000686200865,0.000152473829,-0.00017001315200000002,0,0,sersic2d,0.48518720299999996,0.257293522,65.7468427,1,CCM,0.1,2.3000000000000003,CCM,0.0279946329,3.1,2562502839,1101,1,2624002907233,53.60576264687625,-28.3874968665345
4,object,179840093598113899,53.231066165924254,-28.45771027607475,21.468666,galaxySED/Exp.25E09.02Z.spec.gz,0.153528214,0.000830432206,0.001564616,-0.000517664555,0,0,sersic2d,0.8809127809999999,0.319575638,131.634167,1,CCM,0.4,4.000000000000002,CCM,0.025145915699999997,3.1,2562509140,1102,0,2624009359457,53.23133123621438,-28.45770907391244
5,object,179840093598114923,53.23135900241798,-28.457709387694145,21.468666,galaxySED/Exp.25E09.02Z.spec.gz,0.153528214,0.000830432206,0.001564616,-0.000517664555,0,0,sersic2d,0.8809127809999999,0.319575638,131.634167,1,CCM,0.4,4.000000000000002,CCM,0.025145915699999997,3.1,2562509140,1102,1,2624009359457,53.23133123621438,-28.45770907391244
6,object,179840387619237995,53.53002651288943,-27.875460272172386,31.309864899999997,galaxySED/Exp.62E09.002Z.spec.gz,0.19293927600000002,0.00133558973,0.0011637029300000002,0.000360520653,0,0,sersic2d,0.06946881120000001,0.0575551428,167.461682,1,CCM,0.0,2.0,CCM,0.0221968611,3.1,2562537853,1103,0,2624038761569,53.5295404682616,-27.87546028862369
7,object,179840387619239019,53.529453625470126,-27.875459715589418,31.309864899999997,galaxySED/Exp.62E09.002Z.spec.gz,0.19293927600000002,0.00133558973,0.0011637029300000002,0.000360520653,0,0,sersic2d,0.06946881120000001,0.0575551428,167.461682,1,CCM,0.0,2.0,CCM,0.0221968611,3.1,2562537853,1103,1,2624038761569,53.5295404682616,-27.87546028862369
8,object,179840425118122091,52.88963444175978,-28.597128499931983,26.613949199999997,galaxySED/Exp.20E09.02Z.spec.gz,0.239095807,-0.000716486535,0.00171591392,-0.00136885674,0,0,sersic2d,0.050666317300000006,0.0412549339,100.527672,1,CCM,0.1,4.000000000000002,CCM,0.027545150299999998,3.1,2562541515,1104,0,2624042511457,52.88904428135999,-28.597134465315673
9,object,179840425118123115,52.88902929695623,-28.597134746292156,26.613949199999997,galaxySED/Exp.20E09.02Z.spec.gz,0.239095807,-0.000716486535,0.00171591392,-0.00136885674,0,0,sersic2d,0.050666317300000006,0.0412549339,100.527672,1,CCM,0.1,4.000000000000002,CCM,0.027545150299999998,3.1,2562541515,1104,1,2624042511457,52.88904428135999,-28.597134465315673
