id,ra,dec,mag_norm,redshift
213934178332,53.0528982,-27.7032939,21.0662749,0.48
213934179356,53.0523538,-27.702902,22.4218344,0.48
233595183132,53.0833935,-27.7074074,22.1451148,0.66
233595184156,53.0836934,-27.7072864,21.6315462,0.66
485837983772,52.7858581,-27.3042146,20.2003519,0.75
485837984796,52.7859969,-27.3039991,22.1824952,0.75
551311822876,52.9699331,-27.422188,20.6944682,0.69
551311823900,52.9699007,-27.4217362,22.2037253,0.69
785592844316,52.9006338,-27.2818686,22.4635033,0.62
785592845340,52.9006676,-27.2816362,23.1051851,0.62
794901004316,53.128386,-27.5017262,22.4334859,0.62
794901005340,53.1284199,-27.5014938,23.4724393,0.62
957522223132,52.853826,-27.2302578,22.0613612,0.66
957522224156,52.8541246,-27.2301368,21.596035,0.66
1072506978332,53.2552185,-27.5926397,21.342224,0.48
1072506979356,53.2546747,-27.5922478,22.6756863,0.48
1257605247004,53.14032,-27.6887455,22.9187842,0.62
1257605248028,53.1410102,-27.6884587,22.5389118,0.62
1257605249052,53.1410395,-27.6881448,22.3455978,0.62
1257605250076,53.1403978,-27.6880477,23.4858399,0.62
1302364684316,53.0173348,-27.5841828,22.5159127,0.62
1302364685340,53.0173688,-27.5839504,23.4997247,0.62
1370163503132,53.2360591,-27.4607527,22.317497,0.66
1370163504156,53.2363583,-27.4606317,21.7245716,0.66
2098411823132,52.9735276,-27.6448322,22.502431,0.66
2098411824156,52.9738273,-27.6447113,22.1269805,0.66
2136914047004,52.8413246,-27.2085126,23.1083537,0.62
2136914048028,52.8420118,-27.2082258,22.6246962,0.62
2136914049052,52.842041,-27.2079119,22.3904133,0.62
2136914050076,52.8414021,-27.2078148,23.792853,0.62
2379735674908,53.173199,-27.5312923,22.7145625,0.86
2379735675932,53.1725133,-27.5312062,22.8745879,0.86
2379735676956,53.1730765,-27.5308119,20.7831497,0.86
2379735677980,53.1731784,-27.530849,20.6485764,0.86
2481019007004,53.132232,-27.4676386,23.1828084,0.62
2481019008028,53.1329209,-27.4673518,22.7243177,0.62
2481019009052,53.1329501,-27.4670379,22.4152363,0.62
2481019010076,53.1323097,-27.4669408,23.793146,0.62
2488791474204,53.1652242,-27.37383,20.0115101,0.55
2488791475228,53.1650288,-27.3737391,19.9212049,0.55
2798520447004,52.9583932,-27.3796333,22.9498553,0.62
2798520448028,52.9590815,-27.3793464,22.4524168,0.62
2798520449052,52.9591107,-27.3790326,22.1983809,0.62
2798520450076,52.9584708,-27.3789355,23.5172186,0.62
2857799737372,53.0919928,-27.2312466,18.6432686,1.33
2857799738396,53.0923588,-27.2313515,20.4416558,1.33
3311739404316,53.0180241,-27.6503739,22.6638644,0.62
3311739405340,53.0180581,-27.6501416,23.4781607,0.62
3642798452764,53.0602643,-27.7229279,21.3382943,0.61
3642798453788,53.0603607,-27.7225808,23.1643927,0.61
3770358276124,53.1622866,-27.4350957,20.5301589,0.91
3770358277148,53.1625387,-27.435091,21.805839,0.91
4190905962524,53.0612839,-27.5833835,21.9471063,1.57
4190905963548,53.0613369,-27.5832412,22.8111666,1.57
4388301025308,52.9709156,-27.2619985,20.4730335,0.49
4388301026332,52.9705115,-27.2618521,22.6184306,0.49
4462111924252,52.9147908,-27.4641331,22.0748097,1.31
4462111925276,52.9147923,-27.4639596,21.5419667,1.31
4951706099740,53.142889,-27.6897237,23.0220475,1.42
4951706100764,53.143151,-27.689639,22.6783691,1.42
4951788404764,53.2570458,-27.2711789,21.3721959,1.49
4951788405788,53.2565705,-27.2708504,21.5210682,1.49
4951788406812,53.2573804,-27.2706192,22.2869252,1.49
4951788407836,53.2566823,-27.2703438,21.4522543,1.49
6895647969308,53.1820377,-27.3505143,22.9873197,1.33
6895647970332,53.181809,-27.3503084,21.7407181,1.33
7297218994204,52.9008859,-27.282263,20.3074462,0.55
7297218995228,52.9006906,-27.2821721,20.3405401,0.55
7323228532764,53.0651239,-27.4797776,21.6412812,0.61
7323228533788,53.06522,-27.4794305,23.2201268,0.61
7911066005532,53.1364573,-27.511113,23.4807881,1.18
7911066006556,53.1366634,-27.5110892,21.7381295,1.18
9284618874908,53.1587883,-27.615918,22.7366323,0.86
9284618875932,53.1581021,-27.6158319,22.7465961,0.86
9284618876956,53.1586658,-27.6154375,20.7934469,0.86
9284618877980,53.1587677,-27.6154747,20.658954,0.86
9343048839196,52.7937379,-27.4787279,22.3396913,1.04
9343048840220,52.7940176,-27.4787012,22.0945061,1.04
10375599972380,53.1356171,-27.1720507,23.2981365,2.47
10375599973404,53.135106,-27.1719567,23.0083559,2.47
10732892721180,53.309493,-27.5705336,23.7542533,1.63
10732892722204,53.3098188,-27.5705365,22.5796017,1.63
11289805434908,53.2021806,-27.4866893,23.1636985,0.86
11289805435932,53.2014952,-27.4866032,22.7140613,0.86
11289805436956,53.2020582,-27.4862089,21.0213474,0.86
11289805437980,53.2021601,-27.4862461,20.8867766,0.86
11399077867548,53.0425568,-27.3549618,23.6967914,3.26
11399077868572,53.042415,-27.3547487,23.7586807,3.26
12729785565212,52.9252912,-27.5212629,22.8153546,1.15
12729785566236,52.9251534,-27.5209425,22.2587371,1.15
13159835463708,53.2124655,-27.3367988,21.8314868,1.92
13159835464732,53.2121718,-27.3366681,21.4749934,1.92
13159835465756,53.2127602,-27.3364946,21.782246,1.92
13159835466780,53.2123601,-27.3363451,22.0673726,1.92
13205637955612,52.7950605,-27.2506094,21.7144841,1.44
13205637956636,52.7954364,-27.2504116,22.3894029,1.44
13205637957660,52.7949001,-27.250392,21.9282559,1.44
13205637958684,52.7951691,-27.2501183,21.8775755,1.44
13214803370012,53.0294384,-27.5051619,20.964945,1.84
13214803371036,53.0291333,-27.5050091,23.069934,1.84
13740514000924,52.7482918,-27.2624458,22.8686058,0.74
13740514001948,52.7479408,-27.2622704,23.9108332,0.74
14512602247196,53.1660527,-27.1960547,22.2769401,2.06
14512602248220,53.1662123,-27.1960064,21.2538682,2.06
15328051519516,52.8864754,-27.6640348,22.1073496,1.97
15328051520540,52.8860883,-27.6637162,21.2519056,1.97
15513426296860,52.9117493,-27.2656986,21.8737189,1.18
15513426297884,52.9117823,-27.26517,21.5233274,1.18
15629179510812,52.7868919,-27.6348385,20.8932995,1.07
15629179511836,52.7862916,-27.6346875,20.3448832,1.07
15649466429468,53.2593601,-27.3407741,23.232514,1.44
15649466430492,53.2592729,-27.3405879,23.6429083,1.44
16800471343132,52.7809063,-27.4346113,21.8888528,0.66
16800471344156,52.7812054,-27.4344903,21.5083274,0.66
18375711395868,53.1097546,-27.5598709,21.2014664,1.34
18375711396892,53.1096988,-27.5594876,21.2933754,1.34
18375732842524,52.7998832,-27.5616344,22.1803936,1.57
18375732843548,52.7999361,-27.5614921,23.0468202,1.57
19624450109468,52.8232047,-27.2808197,23.395294,1.44
19624450110492,52.8231176,-27.2806334,23.8054392,1.44
19946035519516,53.2418603,-27.2262801,22.0543599,1.97
19946035520540,53.2414747,-27.2259615,21.2688057,1.97
20034993156124,53.1668937,-27.7040152,23.4344453,2.41
20034993157148,53.1670276,-27.703865,23.6241725,2.41
21586831884316,52.748184,-27.2627225,23.6353758,0.62
21586831885340,52.7482179,-27.2624902,24.2508984,0.62
21686651007004,53.1730357,-27.6695672,22.7011167,0.62
21686651008028,53.1737258,-27.6692804,22.1989701,0.62
21686651009052,53.1737551,-27.6689665,22.0105796,0.62
21686651010076,53.1731135,-27.6688694,23.4604543,0.62
21758535790620,52.9198252,-27.4274847,20.8435584,1.54
21758535791644,52.9203509,-27.4266525,19.5197424,1.54
22156258639900,53.1460309,-27.2193151,23.2037967,1.57
22156258640924,53.1458633,-27.2190358,23.4599931,1.57
22832322617372,52.959661,-27.6572718,18.774028,1.33
22832322618396,52.9600285,-27.6573767,20.511429,1.33
23078698098716,53.0246892,-27.6721074,21.0470721,1.59
23078698099740,53.024832,-27.6718799,21.153682,1.59
23265218875420,52.7496229,-27.3058725,20.4417835,1.52
23265218876444,52.749049,-27.3056736,21.3681582,1.52
23333130735644,52.7329312,-27.5508776,21.4214922,3.73
23333130736668,52.7326913,-27.5505901,21.0918944,3.73
23753135505436,52.9775584,-27.6283691,18.9114195,1.87
23753135506460,52.9770962,-27.6284094,20.6843734,1.87
24537958580252,52.7100878,-27.4027567,20.140031,0.8
24537958581276,52.7103115,-27.4024796,22.4022408,0.8
25132237119516,53.2581461,-27.2386819,22.4116105,1.97
25132237120540,53.2577605,-27.2383633,21.5354088,1.97
25553121636380,53.0851695,-27.1483403,21.2655515,0.82
25553121637404,53.0853209,-27.1483924,23.0542075,0.82
25751247556636,53.3081675,-27.3222406,23.8818563,2.06
25751247557660,53.3083746,-27.3223083,23.6174902,2.06
25753336651804,53.0164297,-27.2841569,23.5286529,2.71
25753336652828,53.0161489,-27.2836573,24.2131212,2.71
25753336653852,53.016777,-27.2838436,22.8559547,2.71
25753336654876,53.0167127,-27.283565,22.9447639,2.71
26111785263132,53.1729545,-27.5814185,21.8445859,0.66
26111785264156,53.173254,-27.5812975,21.407531,0.66
26652744515612,53.0652392,-27.5867029,22.1714532,1.44
26652744516636,53.0656162,-27.5865051,22.8803074,1.44
26652744517660,53.0650784,-27.5864855,22.4484706,1.44
26652744518684,53.0653481,-27.5862117,22.3115958,1.44
27245824720924,53.2402782,-27.6069379,22.8481274,0.74
27245824721948,53.2399261,-27.6067625,23.7965374,0.74
27246421110812,52.9331247,-27.7030928,21.3674965,2.62
27246421111836,52.9332432,-27.7029989,22.5434115,2.62
27246421112860,52.933053,-27.7029731,22.2630727,2.62
27246421113884,52.9331729,-27.7028048,21.678469,2.62
27307101425692,53.0571558,-27.3512009,20.7127281,2.62
27307101426716,53.0571494,-27.3507948,20.0875349,2.62
28184117391388,52.8287499,-27.3332522,22.2593867,1.51
28184117392412,52.828512,-27.3329995,22.5205667,1.51
28184117393436,52.8289623,-27.3329598,22.4582459,1.51
28184117394460,52.8287478,-27.3327851,22.2161275,1.51
28292977983516,52.722389,-27.3847582,23.4381667,1.57
28292977984540,52.7223637,-27.3844176,21.4368727,1.57
28355155324956,52.9365212,-27.4054799,22.6926097,1.97
28355155325980,52.9359766,-27.4053433,23.1990188,1.97
28765801148444,52.8336345,-27.6265025,23.5943722,1.92
28765801149468,52.8338498,-27.6263649,24.0875145,1.92
28765801150492,52.8334769,-27.6263354,23.8368313,1.92
28765801151516,52.8336593,-27.626163,23.7918638,1.92
29077793632284,52.7624234,-27.2722766,23.0117388,2.35
29077793633308,52.762632,-27.2721403,23.2613385,2.35
29077793634332,52.7622663,-27.2720616,23.4695662,2.35
29077793635356,52.7625065,-27.2718867,23.1678853,2.35
29488395182108,52.9512748,-27.5137345,23.6789636,3.44
29488395183132,52.9517233,-27.5134041,22.6977587,3.44
29651416145948,52.9884276,-27.3976847,23.3504553,2.26
29651416146972,52.9880751,-27.396759,22.8103836,2.26
29909893857308,52.8652671,-27.2589814,22.8601562,1.63
29909893858332,52.8657203,-27.2588931,22.307731,1.63
29919785594908,52.8237905,-27.4261875,22.9055907,0.86
29919785595932,52.8231054,-27.4261014,22.7246233,0.86
29919785596956,52.8236682,-27.425707,20.8132754,0.86
29919785597980,52.8237699,-27.4257442,20.6787153,0.86
30781379153948,53.0433324,-27.304796,22.9499966,2.69
30781379154972,53.0433989,-27.304626,22.5583097,2.69
32073279549468,52.9701712,-27.5547154,22.9772504,1.44
32073279550492,52.9700839,-27.5545292,23.4028824,1.44
32540838379548,52.9327972,-27.2868178,24.1444667,1.97
32540838380572,52.9326122,-27.2866877,22.6616257,1.97
32540838381596,52.9330382,-27.2866208,23.189995,1.97
32540838382620,52.9327318,-27.2865649,23.3279594,1.97
32659395588124,52.7834679,-27.2870081,23.3490233,2.04
32659395589148,52.7829596,-27.2865085,23.593821,2.04
32904880582684,53.0131077,-27.2385406,22.0845352,1.36
32904880583708,53.0131968,-27.2384957,22.6942997,1.36
32904880584732,53.0131049,-27.2384445,23.0585289,1.36
32904880585756,53.0131917,-27.2384224,21.9489758,1.36
32932589236252,52.922999,-27.4562079,19.3518339,1.19
32932589237276,52.9231712,-27.4558752,20.9875435,1.19
32932598698012,52.9247367,-27.6832792,20.6090511,1.12
32932598699036,52.924451,-27.6831728,19.5458228,1.12
33246005190684,53.098426,-27.5674318,23.0903846,2.0
