obshistid,expmjd,filter,rotskypos,start_run,end_run,altitude,rawseeing,airmass,moonalt,moonphase,dist2moon,sunalt,cputime,hostname,cputime_fell,runlimit,vskybright,filtskybrightness
 943909,60962.13672,2, 91.1001205,57449.516,57450.180,45.49210358, 0.6331350, 1.4022260,-35.21570587,45.2380943,  82.8834457,-48.00973892, 50539.64,0,  50539.64,0,21.305199,21.025200
 943919,60962.14453,1, 91.1001205,57449.516,57450.141,47.19470596, 0.6331350, 1.3630199,-33.60179901,45.1780853,  82.9483643,-48.73899841, 41810.69,0,  41810.69,0,21.327581,21.737581
 943939,60962.15234,3, 91.1001205,57449.516,57450.152,50.18754959, 0.6331350, 1.3018430,-30.78095436,45.0729179,  83.0607758,-49.82950974, 53134.88,0,  53134.88,0,21.364359,20.004358
 943965,60962.16406,4, 91.1001205,57449.516,57450.691,53.96443176, 0.6331350, 1.2366300,-27.25033188,44.9407158,  83.1994858,-50.83493423, 75780.52,0,  75780.52,0,21.406261,19.256262
 943985,60962.17578,5, 91.1001205,57449.516,57450.816,56.97572708, 0.6331350, 1.1926939,-24.45893860,44.8356628,  83.3074341,-51.32344055,108120.86,0, 108120.86,0,21.436211,17.299999
 946367,60965.12891,2,120.0876465,57449.516,57450.219,45.69940186, 0.5725450, 1.3972670,-60.16446304,16.9017143, 107.7937622,-45.97568130, 53048.61,0,  53048.61,0,21.307981,21.027981
 946377,60965.13672,1,120.0876465,57449.516,57450.289,47.40240097, 0.5725450, 1.3584681,-58.76478577,16.8596935, 107.8596497,-46.77971268, 43306.19,0,  43306.19,0,21.330238,21.740238
 946397,60965.14453,3,120.0876465,57449.516,57449.879,50.39587784, 0.5725450, 1.2979170,-56.22778702,16.7861347, 107.9744720,-48.01586914, 29193.69,3,  49921.21,0,21.366798,20.006800
 946423,60965.15625,4,120.0876465,57449.516,57451.172,54.17350388, 0.5725450, 1.2333640,-52.91643524,16.6938210, 108.1173096,-49.23048019, 79594.16,0,  79594.16,0,21.408438,19.258438
 946443,60965.16797,5,120.0876465,57449.516,57450.938,57.18525696, 0.5725450, 1.1898741,-50.20920944,16.6205845, 108.2294388,-49.90439606,104201.02,0, 104201.02,0,21.438183,17.299999
